Code/Ref,License holder,Type of License,Date of application,PSC ratio,Date of award,Expiry date,Commodity ,Area (Km2),Location (Region),Coordinates of the license area
"5/1999
22/2019","Myanmar Pongpipat Co.,L td ",production,,35:65,1.7.1999,30.6.2019,"Tin/ Tungsten
mixed Ore",8.54,Taninthayi,
8/2004,"Silver Bright  Co,Lt d",production,,32.8:67.2,12.8.2004,11.8.2019,"Tin/ Tungsten 
Mixed Ore",11.82,Taninthayi,
0002/2015,"Mining World Co.,Ltd",production,,32.8:67.2,12.1.2015,11.2.2025,"Tin/ Tungsten 
Mixed Ore",1.63,Taninthayi,
2/2002,"A&A, Natural Resources Development Co,Lt d",production,,32.8:67.2,28.2.2002,27.2.2017,"Tin/ Tungsten 
Mixed Ore",6.69,Taninthayi,
0001/2010,"Delco Co.,Ltd",production,,32.8:67.2,5.1.2010,4.1.2020,"Tin/ Tungsten 
Mixed Ore",8.45,Taninthayi,
27/1999,"Myanmar Tin and Tungsten Co.,Ltd ",production,,30:70,1.12.1999,30.11.2019,"Tin/ Tungsten 
Mixed Ore",1.19,Taninthayi,
008/2012,"Diamond  Shark Mining Co., Ltd",production,,32.8:67.2,25.4.2012,24.4.2022,"Tin/ Tungsten 
Mixed Ore",2.80,Taninthayi,
0004/2013,"Ngwe Ka Ba Myanmar Co.,Ltd ",production,,32.8:67.2,9.5.2013,8.5.2023,"Tin/ Tungsten 
Mixed Ore",3.29,Taninthayi,
37/2000,"Ngwe Ka Ba Myanmar Co.,Ltd ",production,,32.8:67.2,1.11.2000,30.10.2015,"Tin/ Tungsten 
Mixed Ore",7.77,Taninthayi,
1/2002,"Kayar Mine Production  Co., Ltd",production,,30:70,28.2.2002,27.2.2019,"Tin/Tungsten
 Sheelite/
Mixed",28.43,"Kayar 
State",
0026/2010,"Eastern  Mining Co., Ltd ",production,,32.8:67.2,3.2.2010,2.2.2017,"Tin/Tungsten
 Mixed",0.20,Taninthayi,
0027/2010,"Eastern  Mining Co., Ltd ",production,,32.8:67.2,3.2.2010,2.2.2017,"Tin/Tungsten
 Mixed",0.20,Taninthayi,
0028/2010,"Eastern  Mining Co., Ltd ",production,,32.8:67.2,11.2.2010,10.2.2016,"Tin/Tungsten
 Mixed",0.20,Taninthayi,
0187/2010,"Grand Eden  Mining Co., Ltd ",production,,32.8:67.2,12.3.2010,11.3.2016,"Tin/Tungsten
 Mixed",0.20,Taninthayi,
0374/2011,"Htin Kyaw Win Co.,Ltd ",production,,32.8:67.2,25.10.2011,24.10.2016,"Tin/Tungsten
 Mixed",0.20,Taninthayi,
0190/2013,"East Manufacturing Co.,Ltd",production,,30:70,7.11.2013,6.11.2016,"Tin/Tungsten
 Mixed",0.20,Taninthayi,
0128/2012,"Aung Hein Bo Win Co.,Ltd",production,,30:70,8.4.2012,7.4.2017,"Tin/Tungsten
 Mixed",0.20,Taninthayi,
0212/2013,"Man Pyae Phyo Co., ltd",production,,32.8:67.2,22.5.2012,21.5.2016,Tin,0.20,Taninthayi,
0112/2012,"Phuk par(L)Co.,Ltd",production,,30:70,12.3.2015,11.3.2018,"Tin/Tungsten
 Mixed",0.15,Taninthayi,
0062/2015,"Htun Kyae Tapwint Co.,Ltd",production,,30:70,4.8.2010,3.8.2016,Tin,0.16,Taninthayi,
0486/2010,"Golden Sea Mining Co., Ltd ",production,,30:70,4.8.2010,3.8.2016,Tin,0.20,Taninthayi,
0487/2010,"Golden Sea Mining Co., Ltd ",production,,32.8:67.2,4.8.2010,3.8.2016,Tin,0.20,Taninthayi,
0489/2010,"Golden Sea Mining Co., Ltd ",production,,32.8:67.2,21.5.2010,21.5.2013,Tin,0.20,Taninthayi,
0363/2010,"Mining World  Mining Co., Ltd ",production,,32.8:67.2,21.5.2010,21.5.2013,Tin,0.20,Taninthayi,
0362/2010,"Mining World  Mining Co., Ltd ",production,,32.8:67.2,18.3.2011,18.3.2014,Tin,0.20,Taninthayi,
0247/2011,"Mining World  Mining Co., Ltd ",production,,32.8:67.2,24.2.2011,23.2.2017,Tin,0.20,Taninthayi,
0186/2011,"Aung Dana Thukha Co.,Ltd",production,,32.8:67.2,5.3.2010,4.3.2015,Tin,0.20,Taninthayi,
0773/2010,"Wai International Export & Import Mining Co., Ltd ",production,,32.8:67.2,29.10.2010,28.10.2016,Tin,0.20,Taninthayi,
0774/2010,"Wai International Export & Import Mining Co., Ltd ",production,,32.8:67.2,29.10.2010,28.10.2016,Tin,0.20,Taninthayi,
0207/2009,"Nan Thilar  Mining Co., Ltd ",production,,32.8:67.2,1.12.2009,30.11.2016,Tin,0.20,Taninthayi,
0375/2011,"Seinn Lei Kan Thar Agricuiture &
 Fish Farming Products Co.,Ltd",production,,32.8:67.2,25.10.2011,24.10.2016,Tin,0.20,Taninthayi,
0098/2012,Tin Tungstern & Natural Resources,production,,32.8:67.2,7.5.2012,6.5.2016,Tin,0.20,Taninthayi,
0099/2012,Tin Tungstern & Natural Resources,production,,32.8:67.2,7.5.2012,6.5.2016,Tin,0.20,Taninthayi,
0343/2011,"Alwan Taung Mining Co.,Ltd",production,,30:70,29.3.2011,28.3.2017,Tin,0.20,Kachin State,
0344/2011,"Alwan Taung Mining Co.,Ltd",production,,30:70,29.3.2011,28.3.2017,Tin,0.20,Kachin State,
0345/2011,"Alwan Taung Mining Co.,Ltd",production,,30:70,29.3.2011,28.3.2017,Tin,0.20,Kachin State,
0346/2011,"Alwan Taung Mining Co.,Ltd",production,,30:70,29.3.2011,28.3.2017,Tin,0.20,Kachin State,
0769/2010,"San Lin International Export  Import  Co.,Ltd",production,,32.8:67.2,29.10.2010,28.10.2014,Tin,0.20,Kachin State,
0770/2010,"San Lin International Export  Import  Co.,Ltd",production,,32.8:67.2,29.10.2010,28.10.2014,Tin,0.20,Kachin State,
0779/2010,Kayar Silver Star,production,,32.8:67.2,29.10.2010,28.10.2017,"Tin/Tungsten
 Mixed",0.20,Kayar State,
0112/2011,"Ye Htut Kyaw Mining Co.,Ltd",production,,32.8:67.2,28.1.2011,27.1.2017,"Tin/Tungsten
 Sheelite/
Mixed",0.20,Kayar State,
0113/2011,"Ye Htut Kyaw Mining Co.,Ltd",production,,32.8:67.2,28.1.2011,27.1.2017,"Tin/Tungsten
 Sheelite/
Mixed",0.20,Kayar State,
0183/2012,"Kayar Golden  Gate 
Co.,Ltd",production,,32.8:67.2,2.10.2012,1.10.2016,"Tin/Tungsten
 Sheelite/
Mixed",0.20,Kayar State,
0002/2014,"Kayar Htar Ni Mining   Co.,Ltd",production,,32.8:67.2,15.1.2014,14.1.2017,"Tin/Tungsten
 Mixed",0.20,Mon State,
0014/2015,Lir Mu Koh ,production,,30:70,7.1.2015,6.1.2018,"Tin/Tungsten
 Mixed",0.20,Mon State,
0200/2014,"Laoi Mine Kan Co.,Ltd",production,,32.8:67.2,2.7.2014,1.7.2017,"Tin/Tungsten
 Mixed",0.20,Shan (S) State,
0201/2014,"Laoi Mine Kan Co.,Ltd",production,,32.8:67.2,2.7.2014,1.7.2017,"Tin/Tungsten
 Mixed",0.20,Shan (S) State,
0202/2014,"Laoi Mine Kan Co.,Ltd",production,,32.8:67.2,2.7.2014,1.7.2017,"Tin/Tungsten
 Mixed",0.20,Shan (S) State,
0203/2014,"Laoi Mine Kan Co.,Ltd",production,,32.8:67.2,2.7.2014,1.7.2017,"Tin/Tungsten
 Mixed",0.20,Shan (S) State,
0347/2011,"Hoopoe Mining Co.,Ltd",production,,32.8:67.2,29.3.2011,28.3.2014,"Tin/Tungsten
 Mixed",0.14,Shan (S) State,
0348/2011,"Hoopoe Mining Co.,Ltd",production,,32.8:67.2,29.3.2011,28.3.2014,"Tin/Tungsten
 Mixed",0.06,Shan (S) State,
0168/2013,"Sea Sun Star Mining Production & Marketing Co., Ltd.",production,,50:50,2.10.2013,1.10.2015,Gold,0.0809,Kachin,
0169/2013,"Sea Sun Star Mining Production & Marketing Co., Ltd.",production,,50:50,2.10.2013,1.10.2015,Gold,0.0809,Kachin,
0170/2013,"Sea Sun Star Mining Production & Marketing Co., Ltd.",production,,50:50,2.10.2013,1.10.2015,Gold,0.0809,Kachin,
