License_location_cl,Commodity_cl,Location_state_cl,License_type_cl,MIC Permit,Period from,Period To,Company Status (Active/ Pending),License_location_code_1_cl,Award_date_cl,Expiry_date_cl,Company,Company_Name_cl
MOGE-1,Oil and Gas,Onshore,Production,216/1996,1996,2028,Active,Yenangyaung,1996-01-01,2028-01-01,-Goldpetrol JOC Inc.,Goldpetrol JOC Inc.
IOR-2,Oil and Gas,Onshore,Production,215/1996,1996,2028,Active,Chauk,1996-01-01,2028-01-01,-Goldpetrol JOC Inc.,Goldpetrol JOC Inc.
MOGE-2,Oil and Gas,Onshore,Production,218/1996,1996,2024,Active,Mann,1996-01-01,2024-01-01,-MPRL E&P Pte. Ltd.,MPRL E&P Pte. Ltd.
PSC -A,Oil and Gas,Onshore,,427/2008,2008,2019,Temporay Suspend,Hukaung,2008-01-01,2019-01-01,"-JSC Nobel Oil Co., Ltd.","JSC Nobel Oil Co., Ltd."
"PSC-B1
",Oil and Gas,Onshore,,428/2008,2008,2019,"Prepare for 
Termination Agreement",Uru,2008-01-01,2019-01-01,"-JSC Nobel Oil Co., Ltd.","JSC Nobel Oil Co., Ltd."
PSC- F,Oil and Gas,Onshore,Semi-exploration,442/2010,2010,2017,Active,"Ngahlaing
Dwin",2010-01-01,2017-01-01,"-North Petro-Chem CorporationMyanmarLtd. 
(NPCCM) - 60%
'  -Asia Petroleum Investment Company (APIC) -40%",North Petro
PSC-R,Oil and Gas,Onshore,Exploration,450/2011,2011,2021,Active,Mepale,2011-01-01,2021-01-01,"-SNOG Pte Ltd. - 94%
-UPR Pte Ltd. - 6%",SNOG Pte Ltd.
RSF-9,Oil and Gas,Onshore,Exploration,471/2012,2012,2018,Active,"Pylo-
Paukkaung",2012-01-01,2018-01-01,"-Geopetrol International Holding 
Inc.  - 80%
-A-1 Mining Company .Ltd.-20%","Geopetrol International Holding 
Inc."
PSC-I,Oil and Gas,Onshore,Exploration,474/2012,2012,2018,Active,Hinthada,2012-01-01,2018-01-01,"-Jubilant Oil & Gas Pte.Ltd.-77.5%
-Parami Energy Development 
Co.,Ltd-22.5%",Jubilant Oil & Gas Pte.Ltd.
PSC-G,Oil and Gas,Onshore,Exploration,482/2012,2012,2018,Active,"TaungDwin
Gyi",2012-01-01,2018-01-01,"-PTTEP South Asia Ltd.-70%
-Win Precious Resources Pte Ltd.-10%
- Palang Sophon Offshore Pte. Ltd. (PSO) - 10%
- MOECO -10%
",PTTEP South Asia Ltd.
