License_location_cl,Commodity_cl,Location_state_cl,License_type_cl,MIC Permit,Period from,Period To,Company Status (Active/ Pending),License_location_code_1_cl,Award_date_cl,Expiry_date_cl,Company_Name_cl
M-12,Oil and Gas,Offshore,Production,251/1997,1997,2027,Active,Tanintharyi,1997-01-01,2027-01-01,PCML
M-13,Oil and Gas,Offshore,Production,251/1997,1997,2027,Active,Tanintharyi,1997-01-01,2027-01-01,PCML
M-14,Oil and Gas,Offshore,Production,251/1997,1997,2027,Active,Tanintharyi,1997-01-01,2027-01-01,PCML
A-1,Oil and Gas,Offshore,Production,"445/2010
& 
444/ 2010",2010,2040,Active,Rakhine,2010-01-01,2040-01-01,Daewoo International Corporation (Posco Daewoo Corporation)
A-3,Oil and Gas,Offshore,Production,"445/2010
& 
444/ 2010",2010,2040,Active,Rakhine,2010-01-01,2040-01-01,Daewoo International Corporation (Posco Daewoo Corporation)
AD-7,Oil and Gas,Offshore,Exploration,416/2007,2007,2019,Active,Rakhine,2007-01-01,2019-01-01,Daewoo International Corporation (Posco Daewoo Corporation)
M-3,Oil and Gas,Offshore,Exploration,394/2004,2004,2019,Active,Mottama,2004-01-01,2019-01-01,PTTEP International Ltd.
M-11,Oil and Gas,Offshore,Exploration,405/2005,2005,2017,Active,Mottama,2005-01-01,2017-01-01,PTTEPI
M-9,Oil and Gas,Offshore,Production,"446/2010
&
447/2010",2010,2040,Active,Mottama,2010-01-01,2040-01-01,PTTEP Ltd.
AD-1,Oil and Gas,Offshore,Exploration,413/2007,2007,2019,Active,Rakhine,2007-01-01,2019-01-01,CNPC International Ltd.
AD-6,Oil and Gas,Offshore,Exploration,414/2007,2007,2019,Active,Rakhine,2007-01-01,2019-01-01,CNPC International Ltd.
AD-8,Oil and Gas,Offshore,Exploration,415/2007,2007,2019,Active,Rakhine,2007-01-01,2019-01-01,CNPC International Ltd.
A-6,Oil and Gas,Offshore,Exploration,411/2006,2006,2017,Active,Rakhine,2006-01-01,2017-01-01,MPRL E&P Ptd. Ltd.
M-2,Oil and Gas,Offshore,Exploration,429/2008,2008,2018,Active,Mottama,2008-01-01,2018-01-01,Petrovietnam Exploration Production Corporation
MD-7,Oil and Gas,Offshore,Study,559/2013,2013,2020,Active,Tanintharyi,2013-01-01,2020-01-01,PTTEP South Asia Ltd.
MD-8,Oil and Gas,Offshore,Study,560/2013,2013,2020,Active,Tanintharyi,2013-01-01,2020-01-01,PTTEP South Asia Ltd.
M-4,Oil and Gas,Offshore,Study,866/2014,2015,2022,Active,Mottama,2015-01-01,2022-01-01,Oil India Ltd.
YEB,Oil and Gas,Offshore,Study,865/2014,2015,2022,Active,Tanintharyi,2015-01-01,2022-01-01,Oil India Ltd.
AD-3,Oil and Gas,Offshore,Study,869/2014,2015,2023,Active,Rakhine,2015-01-01,2023-01-01,Ophir Myanmar (Block AD
M-8,Oil and Gas,Offshore,Study,867/2014,2015,2022,Active,Mottama,2015-01-01,2022-01-01,Barlanga Myanmar Pte. Ltd.
MD-5,Oil and Gas,Offshore,Study,881/2014,2015,2023,Active,Tanintharyi,2015-01-01,2023-01-01,ShellMyanmarEnergyPte.Ltd.
AD-9,Oil and Gas,Offshore,Study,879/2014,2014,2023,Active,Rakhine,2014-01-01,2023-01-01,Shell Myanmar Energy Pte.Ltd.
AD-11,Oil and Gas,Offshore,Study,880/2014,2014,2023,Active,Rakhine,2014-01-01,2023-01-01,Shell Myanmar Energy Pte.Ltd.
