Code/Ref,Company_Name_cl,License_type_cl,Commodity_cl,Area_acre_cl,Coordinates of the license area,Award_date,Expiry_date,Award_date_cl,Expiry_date_cl,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl
21/1999,Ayeyawaddy Myitphyar Co;Ltd,Large,Coal,3840,"92 H/12 (A- SJ 528 028, B- SJ 597054, C- SJ585 10,  D-  SJ 542 010)",11/11/09,11/10/14,2009-11-11,2014-10-11,"Kachine,Moemouk,Lweje",Kachin,Moemouk,Lweje
0005/2009,"Electrum Mining Co.,Ltd",Large,Iron,9573.24,92 H/5,21/12/09,20/12/19,2009-12-21,2019-12-20,"Kachine,Waimaw,KanTawYan",Kachin,Waimaw,KanTawYan
0034/2011,"SanLin International Co.,Ltd",Large,Limestone,1100,"92 H/5(A-  185 980,B-  200 980,C- 200 970,D- 203 970, E- 203 955,F-190 955, G-190 940,H-180 940, I- 180 955,J- 185 955)",25/3/11,24/3/21,2011-03-25,2021-03-24,"Kachine,Waimaw,KanTawYan",Kachin,Waimaw,KanTawYan
18/1999,"No(2)Heavy Industry,Ministry of Industry",Large,Limestone,1033,"85M/3(444409,450420,462418, 467407,468400,457397,447406)",15/6/99,14/6/19,1999-06-15,2019-06-14,"Magwe  ,Tayat ,pitthalaine village",Magway,Tayat ,pitthalaine village
0006/2014,"Pothar Mining Co.,Ltd",Large,Coal,45,"85I/9T(883145,884145,891137, 886138)",10/12/14,11/11/24,2014-12-10,2024-11-11,"Magwe  ,Minhla,Kantoak",Magway,Minhla,Kantoak
0014/1998,"No(3)Heavy Industry,Ministry of Industry",Large,Marble,135.96,92B/3LA(575020),7/2/98,7/1/18,1998-02-07,2018-01-07,"Mandalay,Mattaya,KanMaTaung,",Mandalay,Mattaya,KanMaTaung
0015/1998,"No(3)Heavy Industry,Ministry of Industry",Large,Marble,50,"93C/7L(806838,809838,806843,809843)",7/2/98,7/1/18,1998-02-07,2018-01-07,"Mandalay,Myintthar ,Watleltaw taung",Mandalay,Myintthar ,Watleltaw taung
0016/1998,"No(3)Heavy Industry,Ministry of Industry",Large,Marble,60,93 B/3(575020),7/2/98,7/1/18,1998-02-07,2018-01-07,"Mandalay,Kyautse', Taungbotaung",Mandalay,Kyautse', Taungbotaung
19/1998,"Myanmar Golden Point Family Co.,Ltd",Large,Gold,5400,"(A-94-B8-810900,B-94-B8-830900,C-94-B8-806810, D-94-B4-750810, E-94-B4-750835, 
F-94-B4-791835)",15/10/08,14/10/13,2008-10-15,2013-10-14,"Mandalay,PaTheinGyi,Phayoung Taung",Mandalay,PaTheinGyi,Phayoung Taung
0002/2000,Myanma Economic Holding Ltd.,Large,Limestone,141.25,93 C/6,24/1/00,23/1/20,2000-01-24,2020-01-23,"Mandalay,Kyautse' ,Kyoutpakhat",Mandalay,Kyautse' ,Kyoutpakhat
0015/2000,"No(3)Heavy Industry,Ministry of Industry",Large,Limestone,248.25,"93C/6(742171, 743186,758185, 758177,746177,747174)",26/4/00,25/4/20,2000-04-26,2020-04-25,"Mandalay,Kyautse' ,Thantawmyat",Mandalay,Kyautse' ,Thantawmyat
0043/2000,"No(3)Heavy Industry,Ministry of Industry",Large,Feldspar,50,93 C/3(670730),30/11/00,29/11/20,2000-11-30,2020-11-29,"Mandalay,Myintthar,Pyatkaywae",Mandalay,Myintthar,Pyatkaywae
002/2001,Myanmar Economic  Corporation,Large,Marble,37,"93 B/3(572022, 575022, 576020, 576017, 573017, 572020)",26/1/01,25/1/25,2001-01-26,2025-01-25,"Mandalay,Mattaya,Yathaetaung",Mandalay,Mattaya,Yathaetaung
0004/2002,"U Taw Taw's Sons Co.,Ltd",Large,Marble,218.82,"93B/3( 591149,589158, 594158, 595150)(591140,589148,594148,594141)(594142, 594148,599149, 599144, 597144,597142)",29/4/02,28/4/17,2002-04-29,2017-04-28,"Mandalay,Mattaya,ThapyawTaung",Mandalay,Mattaya,ThapyawTaung
0001/2014,"No(3)Heavy Industry,Ministry of Industry",Large,Bauxite,190,92 B / 12,1/2/04,1/1/29,2004-02-01,2029-01-01,"Mandalay,Pyin Oo Lwin ,Nattaung",Mandalay,Pyin Oo Lwin ,Nattaung
0001/2005,"No(3)Heavy Industry,Ministry of Industry",Large,Feldspar,50,93 D/1+5(735270),1/5/05,1/4/30,2005-05-01,2030-04-01,"Mandalay,Thar Si ,Hlaingtap",Mandalay,Thar Si ,Hlaingtap
0002/2015,"No(3)Heavy Industry,Ministry of Industry",Large,Feldspar,50,"93D/1(723217, 727217, 723213, 727213)",1/5/05,1/4/30,2005-05-01,2030-04-01,"Mandalay,Thar Si ,WarYoneYae",Mandalay,Thar Si ,WarYoneYae
0003/2008,Myanma Economic Holding Ltd.,Large,Granite,826,"93 C/2(640322,665322, 650310, 650297,639291,639317)",18/7/08,17/7/18,2008-07-18,2018-07-17,"Mandalay,SinKine ,SinTaung",Mandalay,SinKine ,SinTaung
0006/2008,"UE Export & Import Co.,Ltd",Large,Limestone,32,"93 C/6 F( 758108, 764108, 762101,765101)",11/10/08,11/9/18,2008-10-11,2018-09-11,"Mandalay,Kyautse' ,TaungNiMa Taung",Mandalay,Kyautse' ,TaungNiMa Taung
0004/2009,"Htoo International Industrial Gorup Co.,Ltd",Large,Limestone,950,"93D/5LL(926230,942230,942212,926212) (926212,926198,916198, 916212)",11/12/09,11/11/19,2009-12-11,2019-11-11,"Mandalay,Thar, NyungpinHtauk/Thatyatchaung",Mandalay,Thar, NyungpinHtauk/Thatyatchaung
0008/2010,"Myanmar Naing Group Co.,Ltd",Large,Limestone,2769.28,"93 D/5(A - 886 367,B - 918 378,C - 932 345,     D - 897 333)",4/5/10,4/4/35,2010-05-04,2035-04-04,"Mandalay,Thar Si ,PyinNaung",Mandalay,Thar Si ,PyinNaung
0018/2010,"ShweTaung Mining Co.,Ltd",Large,Limestone,600,"93 D/5(A - LL 912 316,B - LL 927 316,C - LL 927 296,D - LL 912 296)",22/12/10,21/12/35,2010-12-22,2035-12-21,"Mandalay,Thar Si ,ThabyeTaung",Mandalay,Thar Si ,ThabyeTaung
0019/2010,"Myanmar Naing Group Co.,Ltd",Large,Limestone,400.477,"93 C/2+6(F(763122,774122, 774108,756108)",3/7/13,28/12/35,2013-07-03,2035-12-28,"Mandalay,Kyautse' ,TaungNiMa Taung",Mandalay,Kyautse' ,TaungNiMa Taung
0003/2011,Green Aisa LTD,Large,Limestone,680,"93 D/5 LL( 912280, 925280, 925255,912255)",13/1/11,1/12/21,2011-01-13,2021-12-01,"Mandalay,Thar Si ,Sai Taung",Mandalay,Thar Si ,Sai Taung
0012/2011,Young Investment Group CoLtd,Large,Limestone,875,"93 C/5(765405, 782405, 782380,765380)",2/4/11,2/3/21,2011-04-02,2021-03-02,"Mandalay,SinKine ,MyaLeikTaung",Mandalay,SinKine ,MyaLeikTaung
0013/2011,Young Investment Group CoLtd,Large,Limestone,638,"93 D/(912335,927336, 927317,912317",2/4/11,2/3/21,2011-04-02,2021-03-02,"MandalaymThar Si ,Thabye Taung",Mandalay,Thar Si ,Thabye Taung
0014/2011,Young Investment Group CoLtd,Large,Limestone,500,"93D/5(912335,927336,927317, 912317)",2/4/11,2/3/21,2011-04-02,2021-03-02,"MandalaymThar Si ,Nwalabo Taung",Mandalay,Thar Si ,Nwalabo Taung
0015/2011,Young Investment Group CoLtd,Large,Limestone,610.046,"93D/5(916240,920243,933243, 940240,940241,946231)",2/4/11,2/3/21,2011-04-02,2021-03-02,"MandalaymThar Si ,Nyoungbin Taung",Mandalay,Thar Si ,Nyoungbin Taung
0016/2011,Young Investment Group CoLtd,Large,Limestone,134.4,93 D,2/4/11,2/3/21,2011-04-02,2021-03-02,"Mandalay, Thar Si ,Kyatsakhan(1)",Mandalay, Thar Si ,Kyatsakhan(1)
0016/2011,Young Investment Group CoLtd,Large,Limestone,89.6,93 D,2/4/11,,2011-04-02,,"Mandalay, Thar Si ,Kyatsakhan(2)",Mandalay, Thar Si ,Kyatsakhan(2)
0044/2011,"Directorate of Military office of Chief of Defence Defence Industries, Ministy of Defence",Large,Iron,618,"93C/9(058550,066553,076550, 075535,065530,060530,060540)",5/7/10,5/6/35,2010-07-05,2035-06-05,"Mandalay,Pyin Oo Lwin ,KyarTwinYae",Mandalay,Pyin Oo Lwin ,KyarTwinYae
0045/2011,"Directorate of Military office of Chief of Defence Defence Industries, Ministy of Defence",Large,Limestone,362.46,"93 C/1+5(758522,781498, 783521, 771530, 774540,770538,779521,772518,766524)",5/7/10,5/6/35,2010-07-05,2035-06-05,"Mandalay,PaThainGyi ,OwnChaw,",Mandalay,PaThainGyi ,OwnChaw
0046/2011,"No(3)Heavy Industry,Ministry of Industry",Large,Glass Sand,613,"93 C/6 F(698148,706167, 695155,720172, 714157,724158)",31/8/11,30/8/21,2011-08-31,2021-08-30,"Mandalay,Kyautse' ,YinSweTaung",Mandalay,Kyautse' ,YinSweTaung
0047/2011,"No(3)Heavy Industry,Ministry of Industry",Large,Limestone,210,"93 C/6 F(700172,707178, 707180, 714185, 715178,714176, 713177,702170)",31/8/11,30/8/21,2011-08-31,2021-08-30,"Mandalay,Kyautse' ,ShweOoMinTaung",Mandalay,Kyautse' ,ShweOoMinTaung
0009/2012,"Good Brothers Missionary Co.,Ltd",Large,Limestone,210,"94 B/4(750890,760890, 760880, 750880)",28/6/12,27/6/22,2012-06-28,2022-06-27,"Mandalay,Pyin Oo Lwin,Taung Kan",Mandalay,Pyin Oo Lwin,Taung Kan
0010/2012,"Triple""A""Cement International Co.,Ltd",Large,Limestone,297,"93 C/6( 838095,832079, 840079, 847095)",20/7/12,19/7/22,2012-07-20,2022-07-19,"Mandalay,Kyautse' ,Taung Taw",Mandalay,Kyautse' ,Taung Taw
0011/2012,Eden Energy and Natural Resources Development,Large,Barite,774.79,"93 D/5(995525,995550, 010550, 010525)",21/6/12,20/6/17,2012-06-21,2017-06-20,"Mandalay,Pyin Oo Lwin, Pengwekone",Mandalay,Pyin Oo Lwin, Pengwekone
,Eden Energy and Natural Resources Development,Large,Barite,774.79,"93 C/5(950540,950555, 975555, 975540)",21/6/13,20/6/17,2013-06-21,2017-06-20,"Mandalay,Pyin Oo Lwin, Sie Thar",Mandalay,Pyin Oo Lwin, Sie Thar
,Eden Energy and Natural Resources Development,Large,Barite,413.23,"93 C/5(810630,820630, 820310, 810610)",21/6/12,20/6/17,2012-06-21,2017-06-20,"Mandalay,Pyin Oo Lwin, TaungKyune",Mandalay,Pyin Oo Lwin, TaungKyune
0051/2011,"National Prosperity Co.,Ltd",Large,Gold,6105,93 D/7,16/9/11,15/9/36,2011-09-16,2036-09-15,"Mandalay,Yamathin,Moedimomei",Mandalay,Yamathin,Moedimomei
0052/2011,"Shwe Moe Yan Co.,Ltd",Large,Gold,8485,93 D/7,16/9/11,15/9/36,2011-09-16,2036-09-15,"Mandalay,Yamathin,Moedimomei",Mandalay,Yamathin,Moedimomei
0014/2012,"No(1)Heavy Industry,Ministry of Industry",Large,Limestone,29.5,"93 s/4+8( 574879, 765879, 769875, 755860, 744868)",12/1/12,30/11/22,2012-01-12,2022-11-30,"Mandalay,Thar Si,",Mandalay,Thar Si,
003/2013,"Mandalay Cement Industry Co.,Ltd",Large,Limestone,148,"93 C/6(802090,800093 , 807100,810097, 810090)",5/9/13,5/8/23,2013-09-05,2023-08-05,"Mandalay,Kyautse' ,SinTap Taung",Mandalay,Kyautse' ,SinTap Taung
0002/2014,"Shwe Pouk Pouk Mining Co.,ltd",Large,Coal,359,"93 D/5+9(005295,020295, 020285, 005285,004288,006289)",20/3/14,19/3/24,2014-03-20,2024-03-19,"Mandalay,Thar Si,KyatSakahn",Mandalay,Thar Si,KyatSakahn
0003/2014,"Shwe Pouk Pouk Mining Co.,ltd",Large,Coal,136,"93 D/5+9(018238,018240, 025227, 020224, 018236)",20/3/14,19/3/24,2014-03-20,2024-03-19,"Mandalay,Thar Si,KyatSakahn",Mandalay,Thar Si,KyatSakahn
0005/2014,"Max Myanmar Industry Co;.,Ltd",Large,Limestone,927,"93 D/5( 920190,935190, 935160,920160)",4/9/14,4/8/24,2014-09-04,2024-08-04,"Mandalay,Thar Si,Pyinnaung",Mandalay,Thar Si,Pyinnaung
0007/2014,"Shwe Pouk Pouk Mining Co.,ltd",Large,Coal,223,"93 D/5+9( 002295,005295, 006289,004288)       (018238,018236, 020224,020218,016217,  016219, 011230)",21/11/14,20/11/14,2014-11-21,2014-11-20,"Mandalay,Thar Si,KyatSakahn",Mandalay,Thar Si,KyatSakahn
0008/2014,"ThukhaPanThu Mining Co.,Ltd",Large,Coal,232,"93 D/5(990292,992295, 995289, 993288 ) (988288,991288,992278,989278,988280) (989278,992278,994270,991270) (994258,998259,996256,996253,995253) (998248,999248,000245,998245) (006215,008215,010204,008204,003214,006214,006203,004203)",26/11/14,25/11/24,2014-11-26,2024-11-25,"Mandalay,Thar Si,KyatSakahn",Mandalay,Thar Si,KyatSakahn
0010/2014,"Than Taw Myat Co.,ltd",Large,Limestone,130.23,"92 C/2+6( 745167,745172, 758174, 759172) (753177,753182,756182,756177)",12/3/14,12/2/24,2014-03-12,2024-02-12,"Mandalay,Kyautse' ,ThanTawMyat",Mandalay,Kyautse' ,ThanTawMyat
0001/2015,"Htoo Han Thit Co.,Ltd",Large,Marble,100,"93 B/3(586278,592278, 595265, 594265,590570,591272, 587274)",1/7/15,1/6/25,2015-07-01,2025-06-01,"Mandalay,Sinku,Ngwe Taung",Mandalay,Sinku,Ngwe Taung
0029/2000,Myanma Economic Holding Ltd.,Large,Limestone,216,"93 C/6(773205,776208, 780208,784205, 785200,780196,780200,774200)",27/7/00,26/7/20,2000-07-27,2020-07-26,"Mandalay,Kyautse' ,NgwarLaikkyout",Mandalay,Kyautse' ,NgwarLaikkyout
12/1999,Myanma Economic Holding Ltd.,Large,Granite,413.22,"94G/4(640880,660880,640870,660870)",8/1/99,31/7/19,1999-01-08,2019-07-31,"Mon,Belin ,KyoutMell taung",Mon,Belin ,KyoutMell taung
17/1999,Myanma Economic Holding Ltd.,Large,Granite,480,"94G/3(540100,557200,550180, 540180)",8/1/99,31/7/19,1999-01-08,2019-07-31,"Mon, Kyaik Hto,Tinwartaung,",Mon, Kyaik Hto,Tinwartaung
