,Application_date_cl,Area_acre_cl,Area_km2_cl,Award_date_cl,Code/Ref,Commodity_cl,Company_Name_cl,Department,Expiry_date_cl,License_location_cl,License_location_code_1_cl,License_location_code_2_cl,License_type_cl,Location (Region),Location_state_cl,Year
0,,3840.0,,2009-11-11, 21/1999,Coal,Ayeyawaddy Myitphyar Co;Ltd,DOM,2014-11-10,Moemouk,Lweje,,Large,,Kachin,2014-15
1,,9573.24,,2009-12-21, 0005/2009,Iron,"Electrum Mining Co.,Ltd",DOM,2019-12-20,Waimaw,KanTawYan,,Large,,Kachin,2014-15
2,,1100.0,,2011-03-25, 0034/2011,Limestone,"SanLin International Co.,Ltd",DOM,2021-03-24,Waimaw,KanTawYan,,Large,,Kachin,2014-15
3,,1033.0,,1999-06-15, 18/1999,Limestone,"No(2)Heavy Industry,Ministry of Industry",DOM,2019-06-14,Tayat ,pitthalaine village,,Large,,Magway,2014-15
4,,45.0,,2014-10-12, 0006/2014,Coal,"Pothar Mining Co.,Ltd",DOM,2024-11-11,Minhla,Kantoak,,Large,,Magway,2014-15
5,,135.96,,1998-07-02, 0014/1998,Marble,"No(3)Heavy Industry,Ministry of Industry",DOM,2018-07-01,Mattaya,KanMaTaung,,Large,,Mandalay,2014-15
6,,50.0,,1998-07-02, 0015/1998,Marble,"No(3)Heavy Industry,Ministry of Industry",DOM,2018-07-01,Myintthar ,Watleltaw taung,,Large,,Mandalay,2014-15
7,,60.0,,1998-07-02, 0016/1998,Marble,"No(3)Heavy Industry,Ministry of Industry",DOM,2018-07-01,Kyautse', Taungbotaung,,Large,,Mandalay,2014-15
8,,5400.0,,2008-10-15, 19/1998,Gold,"Myanmar Golden Point Family Co.,Ltd",DOM,2013-10-14,PaTheinGyi,Phayoung Taung,,Large,,Mandalay,2014-15
9,,141.25,,2000-01-24, 0002/2000,Limestone,Myanma Economic Holding Ltd.,DOM,2020-01-23,Kyautse' ,Kyoutpakhat,,Large,,Mandalay,2014-15
10,,248.25,,2000-04-26, 0015/2000,Limestone,"No(3)Heavy Industry,Ministry of Industry",DOM,2020-04-25,Kyautse' ,Thantawmyat,,Large,,Mandalay,2014-15
11,,50.0,,2000-11-30, 0043/2000,Feldspar,"No(3)Heavy Industry,Ministry of Industry",DOM,2020-11-29,Myintthar,Pyatkaywae,,Large,,Mandalay,2014-15
12,,37.0,,2001-01-26, 002/2001,Marble,Myanmar Economic  Corporation,DOM,2025-01-25,Mattaya,Yathaetaung,,Large,,Mandalay,2014-15
13,,218.82,,2002-04-29, 0004/2002,Marble,"U Taw Taw's Sons Co.,Ltd",DOM,2017-04-28,Mattaya,ThapyawTaung,,Large,,Mandalay,2014-15
14,,190.0,,2004-01-02,0001/2014,Bauxite,"No(3)Heavy Industry,Ministry of Industry",DOM,2029-01-01,Pyin Oo Lwin ,Nattaung,,Large,,Mandalay,2014-15
15,,50.0,,2005-01-05,0001/2005,Feldspar,"No(3)Heavy Industry,Ministry of Industry",DOM,2030-01-04,Thar Si ,Hlaingtap,,Large,,Mandalay,2014-15
16,,50.0,,2005-01-05, 0002/2015,Feldspar,"No(3)Heavy Industry,Ministry of Industry",DOM,2030-01-04,Thar Si ,WarYoneYae,,Large,,Mandalay,2014-15
17,,826.0,,2008-07-18, 0003/2008,Granite,Myanma Economic Holding Ltd.,DOM,2018-07-17,SinKine ,SinTaung,,Large,,Mandalay,2014-15
18,,32.0,,2008-11-10, 0006/2008,Limestone,"UE Export & Import Co.,Ltd",DOM,2018-11-09,Kyautse' ,TaungNiMa Taung,,Large,,Mandalay,2014-15
19,,950.0,,2009-11-12, 0004/2009,Limestone,"Htoo International Industrial Gorup Co.,Ltd",DOM,2019-11-11,Thar, NyungpinHtauk/Thatyatchaung,,Large,,Mandalay,2014-15
20,,2769.28,,2010-04-05, 0008/2010,Limestone,"Myanmar Naing Group Co.,Ltd",DOM,2035-04-04,Thar Si ,PyinNaung,,Large,,Mandalay,2014-15
21,,600.0,,2010-12-22, 0018/2010,Limestone,"ShweTaung Mining Co.,Ltd",DOM,2035-12-21,Thar Si ,ThabyeTaung,,Large,,Mandalay,2014-15
22,,400.477,,2013-03-07,0019/2010,Limestone,"Myanmar Naing Group Co.,Ltd",DOM,2035-12-28,Kyautse' ,TaungNiMa Taung,,Large,,Mandalay,2014-15
23,,680.0,,2011-01-13, 0003/2011,Limestone,Green Aisa LTD,DOM,2021-01-12,Thar Si ,Sai Taung,,Large,,Mandalay,2014-15
24,,875.0,,2011-02-04, 0012/2011,Limestone,Young Investment Group CoLtd,DOM,2021-02-03,SinKine ,MyaLeikTaung,,Large,,Mandalay,2014-15
25,,638.0,,2011-02-04, 0013/2011,Limestone,Young Investment Group CoLtd,DOM,2021-02-03,Thabye Taung,,,Large,,Mandalay,2014-15
26,,500.0,,2011-02-04,0014/2011,Limestone,Young Investment Group CoLtd,DOM,2021-02-03,Nwalabo Taung,,,Large,,Mandalay,2014-15
27,,610.046,,2011-02-04, 0015/2011,Limestone,Young Investment Group CoLtd,DOM,2021-02-03,Nyoungbin Taung,,,Large,,Mandalay,2014-15
28,,134.4,,2011-02-04, 0016/2011,Limestone,Young Investment Group CoLtd,DOM,2021-02-03, Thar Si ,Kyatsakhan(1),,Large,,Mandalay,2014-15
29,,89.6,,2011-02-04, 0016/2011,Limestone,Young Investment Group CoLtd,DOM,, Thar Si ,Kyatsakhan(2),,Large,,Mandalay,2014-15
30,,618.0,,2010-05-07,0044/2011,Iron,"Directorate of Military office of Chief of Defence Defence Industries, Ministy of Defence",DOM,2035-05-06,Pyin Oo Lwin ,KyarTwinYae,,Large,,Mandalay,2014-15
31,,362.46,,2010-05-07, 0045/2011,Limestone,"Directorate of Military office of Chief of Defence Defence Industries, Ministy of Defence",DOM,2035-05-06,PaThainGyi ,OwnChaw,,Large,,Mandalay,2014-15
32,,613.0,,2011-08-31, 0046/2011,Glass Sand,"No(3)Heavy Industry,Ministry of Industry",DOM,2021-08-30,Kyautse' ,YinSweTaung,,Large,,Mandalay,2014-15
33,,210.0,,2011-08-31, 0047/2011,Limestone,"No(3)Heavy Industry,Ministry of Industry",DOM,2021-08-30,Kyautse' ,ShweOoMinTaung,,Large,,Mandalay,2014-15
34,,210.0,,2012-06-28, 0009/2012,Limestone,"Good Brothers Missionary Co.,Ltd",DOM,2022-06-27,Pyin Oo Lwin,Taung Kan,,Large,,Mandalay,2014-15
35,,297.0,,2012-07-20, 0010/2012,Limestone,"Triple""A""Cement International Co.,Ltd",DOM,2022-07-19,Kyautse' ,Taung Taw,,Large,,Mandalay,2014-15
36,,774.79,,2012-06-21,0011/2012,Baryte,  Eden Energy and Natural Resources Development                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,DOM,2017-06-20,Pyin Oo Lwin, Pengwekone,,Large,,Mandalay,2014-15
37,,774.79,,2013-06-21,,Baryte,  Eden Energy and Natural Resources Development                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,DOM,2017-06-20,Pyin Oo Lwin, Sie Thar,,Large,,Mandalay,2014-15
38,,413.23,,2012-06-21,,Baryte,  Eden Energy and Natural Resources Development                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,DOM,2017-06-20,Pyin Oo Lwin, TaungKyune,,Large,,Mandalay,2014-15
39,,6105.0,,2011-09-16, 0051/2011,Gold,"National Prosperity Co.,Ltd",DOM,2036-09-15,Yamathin,Moedimomei,,Large,,Mandalay,2014-15
40,,8485.0,,2011-09-16, 0052/2011,Gold,"Shwe Moe Yan Co.,Ltd",DOM,2036-09-15,Yamathin,Moedimomei,,Large,,Mandalay,2014-15
