Code/Ref,Company_Name_cl,License_type_cl,Date of application,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_acre_cl,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,location_working 4,Coordinates of the license area,Column 11
 21/1999,Ayeyawaddy Myitphyar Co;Ltd,Large,,2009-11-11T00:00:00Z,2009-11-11,2014-11-10T00:00:00Z,2014-11-10,Coal,Coal,3840,3840,"Kachine,Moemouk,Lweje",Kachin,Moemouk,Lweje,," 92 H/12 (A- SJ 528 028, B- SJ 597054, C- SJ585 10,  D-  SJ 542 010)",
 0005/2009,"Electrum Mining Co.,Ltd",Large,,2009-12-21T00:00:00Z,2009-12-21,2019-12-20T00:00:00Z,2019-12-20,Iron,Iron,9573.24,9573.24,"Kachine,Waimaw,KanTawYan",Kachin,Waimaw,KanTawYan,,92 H/5,
 0034/2011,"SanLin International Co.,Ltd",Large,,2011-03-25T00:00:00Z,2011-03-25,2021-03-24T00:00:00Z,2021-03-24,Limestone,Limestone,1100,1100,"Kachine,Waimaw,KanTawYan",Kachin,Waimaw,KanTawYan,,"92 H/5(A-  185 980,B-  200 980,C- 200 970,D- 203 970, E- 203 955,F-190 955, G-190 940,H-180 940, I- 180 955,J- 185 955)",
 18/1999,"No(2)Heavy Industry,Ministry of Industry",Large,,1999-06-15T00:00:00Z,1999-06-15,2019-06-14T00:00:00Z,2019-06-14,Limestone,Limestone,1033,1033," Magwe  ,Tayat ,pitthalaine village",Magway,Tayat ,pitthalaine village,,"85M/3(444409,450420,462418, 467407,468400,457397,447406)",
 0006/2014,"Pothar Mining Co.,Ltd",Large,,2014-10-12T00:00:00Z,2014-10-12,2024-11-11T00:00:00Z,2024-11-11,Coal,Coal,45,45," Magwe  ,Minhla,Kantoak",Magway,Minhla,Kantoak,,"85I/9T(883145,884145,891137, 886138)",
 0014/1998,"No(3)Heavy Industry,Ministry of Industry",Large,,1998-07-02T00:00:00Z,1998-07-02,2018-07-01T00:00:00Z,2018-07-01,Marble,Marble,135.96,135.96,"Mandalay,Mattaya,KanMaTaung,",Mandalay,Mattaya,KanMaTaung,,92B/3LA(575020),
 0015/1998,"No(3)Heavy Industry,Ministry of Industry",Large,,1998-07-02T00:00:00Z,1998-07-02,2018-07-01T00:00:00Z,2018-07-01,Marble,Marble,50,50,"Mandalay,Myintthar ,Watleltaw taung",Mandalay,Myintthar ,Watleltaw taung,,"93C/7L(806838,809838,806843,809843)",
 0016/1998,"No(3)Heavy Industry,Ministry of Industry",Large,,1998-07-02T00:00:00Z,1998-07-02,2018-07-01T00:00:00Z,2018-07-01,Marble,Marble,60,60,"Mandalay,Kyautse', Taungbotaung",Mandalay,Kyautse', Taungbotaung,,93 B/3(575020),
 19/1998,"Myanmar Golden Point Family Co.,Ltd",Large,,2008-10-15T00:00:00Z,2008-10-15,2013-10-14T00:00:00Z,2013-10-14, Gold,Gold,5400,5400,"Mandalay,PaTheinGyi,Phayoung Taung",Mandalay,PaTheinGyi,Phayoung Taung,,"(A-94-B8-810900,B-94-B8-830900,C-94-B8-806810, D-94-B4-750810, E-94-B4-750835, 
F-94-B4-791835)",
 0002/2000,Myanma Economic Holding Ltd.,Large,,2000-01-24T00:00:00Z,2000-01-24,2020-01-23T00:00:00Z,2020-01-23,Limestone,Limestone,141.25,141.25,"Mandalay,Kyautse' ,Kyoutpakhat",Mandalay,Kyautse' ,Kyoutpakhat,,93 C/6,
 0015/2000,"No(3)Heavy Industry,Ministry of Industry",Large,,2000-04-26T00:00:00Z,2000-04-26,2020-04-25T00:00:00Z,2020-04-25,Limestone,Limestone,248.25,248.25,"Mandalay,Kyautse' ,Thantawmyat",Mandalay,Kyautse' ,Thantawmyat,,"93C/6(742171, 743186,758185, 758177,746177,747174)",
 0043/2000,"No(3)Heavy Industry,Ministry of Industry",Large,,2000-11-30T00:00:00Z,2000-11-30,2020-11-29T00:00:00Z,2020-11-29,Feldspar,Feldspar,50,50,"Mandalay,Myintthar,Pyatkaywae",Mandalay,Myintthar,Pyatkaywae,,93 C/3(670730),
