Code/Ref,License holder,Company_Name_cl,Type of License,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_km2_cl,Location (Region),Coordinates of the license area
0359/2011,"Harbaw Star Mining Co., Ltd. (Aung KyoKyer)","Harbaw Star Mining Co., Ltd. (Aung KyoKyer)",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-03-29T00:00:00Z,2014-03-29,2015-03-28T00:00:00Z,2015-03-28,lead Ore,Lead Ore,49.5,49.5,Bawsaing Region Shan State ,93 /C 11 M
0142/2008,"Myanmar Apex (Panwa) Mining Co., Ltd.","Myanmar Apex (Panwa) Mining Co., Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-06-29T00:00:00Z,2014-06-29,2015-06-29T00:00:00Z,2015-06-29,Lead and Zinc associated mineral,Lead and Zinc Associated,49.5,49.5,"Building 39, Room 01 3rd Flood, United Comdo, Alanpae Pagado Road,Dagon  Township, Yangon",92 K/9NZ
0143/2008,,"Myanmar Apex (Panwa) Mining Co., Ltd.",,Production Sharing (Small Scale),2014-06-29T00:00:00Z,2014-06-29,2015-06-29T00:00:00Z,2015-06-29,,Lead and Zinc Associated,49.5,49.5,,92 K/9NZ
0144/2008,,"Myanmar Apex (Panwa) Mining Co., Ltd.",,Production Sharing (Small Scale),2014-06-29T00:00:00Z,2014-06-29,2015-06-29T00:00:00Z,2015-06-29,,Lead and Zinc Associated,49.5,49.5,,92 K/9NZ
0215/2011,"Prince  Manufacturing Co., Ltd.","Prince Manufacturing Co., Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-03-18T00:00:00Z,2014-03-18,2015-03-17T00:00:00Z,2015-03-17,Lead and Zinc Ore,Lead and Zinc Ore,49.5,49.5,"No. (7), Room (3) Mingalar street Mingalaroo Block,",93 G/6
0184/2010,"Tun Pa Kyel Mining Co., Ltd.","Tun Pa Kyel Mining Co., Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-03-12T00:00:00Z,2014-03-12,2015-03-11T00:00:00Z,2015-03-11,Lead Ore,Lead Ore,49.5,49.5,"No (292), Shwepithar(1) street, Aungmingalar Block, Yamalethin Township, Mandalay",93 D/7 LQ
0185/2010,,"Tun Pa Kyel Mining Co., Ltd.",,Production Sharing (Small Scale),2014-03-12T00:00:00Z,2014-03-12,2015-03-11T00:00:00Z,2015-03-11,,Lead Ore,,,,93 D/7 LQ
0186/2010,,"Tun Pa Kyel Mining Co., Ltd.",,Production Sharing (Small Scale),2014-03-12T00:00:00Z,2014-03-12,2015-03-11T00:00:00Z,2015-03-11,,Lead Ore,,,,93 D/7 LQ
0105/2009,"Sandi Mining Co.,Ltd.","Sandi Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-07-27T00:00:00Z,2014-07-27,2015-07-26T00:00:00Z,2015-07-26,"Lead, associated mineral",Lead Associated,49.5,49.5,"No. (126/12/, 21 Street upper block, Lathar Township, Yangon",93 D/6 LL
0760/2010,"Zabutalu Mining Co.,Ltd.","Zabutalu Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-10-29T00:00:00Z,2014-10-29,2015-10-28T00:00:00Z,2015-10-28,Copper Ore,Copper Ore,49.5,49.5,"No.(314/5), 58 Street 31x32 street,Kandaut Chanayetharzan Township, Mandalay",96 C/6
