Code/Ref,License hoder,Company_Name_cl,Type of License,License_type_cl,Date of application,Application_date_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Arces),Area_acre_cl,Location (Region),License_location_cl,Coordinates of the Iicense area
"5/1999
22/2019","Myanmar Pongpipat Co.,L td ","Myanmar Pongpipat Co.,Ltd",Large Scale,Large Scale,1999-07-01T00:00:00Z,1999-07-01,2019-06-30T00:00:00Z,2019-06-30,30.6.2019,2019-06-30,"Tin/ Tungsten
mixed Ore",Tin and Tungsten Mixed Ore,2110.0,2110.0,Heinda Mine,Heinda Mine,"95 J/8O(-443626,457625,454627,453640,460640,459644,
463648,463670,459671, 457668, 458660,455653,448654,
444658,438658,437659,427659,424652,433632,443627)"
8/2004,"Silver Bright  Co,Lt d","Silver Bright Co,Ltd",Large Scale,Large Scale,2004-08-12T00:00:00Z,2004-08-12,2019-08-11T00:00:00Z,2019-08-11,11.8.2019,2019-08-11,"Tin/ Tungsten 
Mixed Ore",Tin and Tungsten Mixed Ore,2920.0,2920.0,Her Myin Gyi Mine,Her Myin Gyi Mine,"95 J/7-8
(327790,325779,324778,323764,336762,338754,346725,
357755, 344763, 345764,342780,343783,342790 )"
0002/2015,"Mining World Co.,Ltd","Mining World Co.,Ltd",Large Scale,Large Scale,2015-01-12T00:00:00Z,2015-01-12,2025-02-11T00:00:00Z,2025-02-11,11.2.2025,2025-02-11,"Tin/ Tungsten 
Mixed Ore",Tin and Tungsten Mixed Ore,403.93,403.93,Pakaryi-Sintwingi,Pakaryi-Sintwingi,"95 J/7- 
(931233,940233,940220,955220,956227,950235,950240,
957240,960235,960215,957209,958205,960200, 972200, 973197,972192,973183, 953183, 953188,948188,948183, 
947183,944193,954205,954214,949217,943217,930206)"
2/2002,"A&A, Natural Resources Development Co,Lt d","A&A, Natural Resources Development Co,Ltd",Large Scale,Large Scale,2002-02-28T00:00:00Z,2002-02-28,2017-02-27T00:00:00Z,2017-02-27,27.2.2017,2017-02-27,"Tin/ Tungsten 
Mixed Ore",Tin and Tungsten Mixed Ore,1654.0,1654.0,Ka lon tar Mine,Ka lon tar Mine,"95 J/7-
(250850,275850,305822,305810,250810)"
0001/2010,"Delco Co.,Ltd","Delco Co.,Ltd",Large Scale,Large Scale,2010-01-05T00:00:00Z,2010-01-05,2020-01-04T00:00:00Z,2020-01-04,4.1.2020,2020-01-04,"Tin/ Tungsten 
Mixed Ore",Tin and Tungsten Mixed Ore,2087.0,2087.0,Kan Bauk Mine,Kan Bauk Mine,"95 J/8(A-297603,B-297607,C-305607,D-302602, 
E-309600,F-309590, G-300590, H-293590)"
27/1999,"Myanmar Tin and Tungsten 
Co.,Ltd ","Myanmar Tin and Tungsten Co.,Ltd",Large Scale,Large Scale,1999-12-01T00:00:00Z,1999-12-01,2019-11-30T00:00:00Z,2019-11-30,30.11.2019,2019-11-30,"Tin/ Tungsten 
Mixed Ore",Tin and Tungsten Mixed Ore,295.0,295.0,Thein Daw Mine,Thein Daw Mine,"95 P/3 ( 227464,237465,245462,246458, 237462, 231462, 242436,240427,238427,240436,236444,234449,230457 )"
008/2012,"Diamond  Shark Mining Co., Ltd","Diamond Shark Mining Co., Ltd",Large Scale,Large Scale,2012-04-25T00:00:00Z,2012-04-25,2022-04-24T00:00:00Z,2022-04-24,24.4.2022,2022-04-24,"Tin/ Tungsten 
Mixed Ore",Tin and Tungsten Mixed Ore,692.0,692.0,Lethartaung Mine,Lethartaung Mine,"95 L/16+P/4
( AZ-058355,BZ-059355, CZ-059328,DZ-063323,EZ-061322,
 FZ-060323, GZ-059320, HZ-055318, ZI-056317, JZ-064322,
KZ-067317,LZ-058310,MZ-048322,NZ-048342,OZ-058348)"
0004/2013,"Ngwe Ka Ba Myanmar Co.,Ltd ","Ngwe Ka Ba Myanmar Co.,Ltd",Large Scale,Large Scale,2013-05-09T00:00:00Z,2013-05-09,2023-05-08T00:00:00Z,2023-05-08,8.5.2023,2023-05-08,"Tin/ Tungsten 
Mixed Ore",Tin and Tungsten Mixed Ore,812.14,812.14,Yanmon-Kazat,Yanmon-Kazat,"(3) 95 L/11(  737390,745390, 745384, 737384 ), (4) 95 L/11 
(746404, 749404, 749395, 743390, 743398,746398), (5) 95
L/11 ( 749404, 760404, 760399,755399, 755401, 749401),
(6)95 L/11( 749399, 760399, 760389, 749389),(8) 95 L/11
(740384, 745384, 730379) ,(9) 95 L/11 (  741380, 743382, 
743377,741377),(10)  95 L/11( 738377, 743377,  743375, 
736375),(13) 95 L/11    ( 734375, 743375, 738367, 734367), (14)95 L/11 (742373,743367,738367) ,(15)95 L/11(739367,
744367,744364), (26) 95 L/12  ( 735344, 739344, 739340,
 735340),(27)  95 L/11(747379, 749379, 749376, 747376), (33)95 L/11(749374, 749370,745370), (34)95 L/11(745370, 
747370, 747367, 745367 )"
37/2000,"Ngwe Ka Ba Myanmar Co.,Ltd ","Ngwe Ka Ba Myanmar Co.,Ltd",Large Scale,Large Scale,2000-11-01T00:00:00Z,2000-11-01,2015-10-30T00:00:00Z,2015-10-30,30.10.2015,2015-10-30,"Tin/ Tungsten 
Mixed Ore",Tin and Tungsten Mixed Ore,1920.0,1920.0,Palaw Arman Mine,Palaw Arman Mine,"95 L/12 A-725360,B-738320,C-753320,D-753326,E-746326,
F-742339,G-734339,H-734345,I-740345,J-740350,K-735350, 
L-735354, M-739355,N-738361"
1/2002,"Kayar Mine Production  Co., Ltd","Kayar Mine Production Co., Ltd",Large Scale,Large Scale,2002-02-28T00:00:00Z,2002-02-28,2019-02-27T00:00:00Z,2019-02-27,27.2.2019,2019-02-27,"Tin/Tungsten
 Sheelite/
Mixed","Tin, Tungsten and Sheelite Mixed",7024.0,7024.0,Maw Chi Mine,Maw Chi Mine,"94 F/1, 94 F/5 
( 683884,683862,694850,695832,710828,715800,745796,
760806,760841,743843, 735856, 728852, 707884 )"
