Code/Ref,License holder,Company_Name_cl,Type of License,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area  (Km2),Area_km2_cl,Location  (Region),License_location_cl,Coordinates of the license area
0168/2013,"Sea Sun Star 
Mining Production & 
Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",Small scale,Small,2013-10-02T00:00:00Z,2013-10-02,2015-10-01T00:00:00Z,2015-10-01,Gold,Gold,20.0,20.0,Mine Khun,Mine Khun,KTN-21
0169/2013,"Sea Sun Star 
Mining Production & 
Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",Small scale,Small,2013-10-02T00:00:00Z,2013-10-02,2015-10-01T00:00:00Z,2015-10-01,Gold,Gold,20.0,20.0,Kaung Yar,Kaung Yar,KTN-33
0170/2013,"Sea Sun Star 
Mining Production & 
Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",Small scale,Small,2013-10-02T00:00:00Z,2013-10-02,2015-10-01T00:00:00Z,2015-10-01,Gold,Gold,20.0,20.0,Kaung Yar,Kaung Yar,KTN-34
0173/2013,"Sea Sun Star 
Mining Production & 
Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",Small scale,Small,2013-10-02T00:00:00Z,2013-10-02,2015-10-01T00:00:00Z,2015-10-01,Gold,Gold,20.0,20.0,DaLue,DaLue,KTN-39
0174/2013,"Sea Sun Star 
Mining Production & 
Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",Small scale,Small,2013-10-02T00:00:00Z,2013-10-02,2015-10-01T00:00:00Z,2015-10-01,Gold,Gold,20.0,20.0,DaLue,DaLue,KTN-40
0112/2009,"Shwe Pyae Phyo
 Gold & Mining  Co., Ltd","Shwe Pyae Phyo Gold & Mining Co., Ltd",Small scale,Small,2009-08-17T00:00:00Z,2009-08-17,2015-08-16T00:00:00Z,2015-08-16,Gold,Gold,20.0,20.0,Shin Bawe Yan,Shin Bawe Yan,KSBY-15
0117/2014,"Thiri Phyo Wai Co., Ltd","Thiri Phyo Wai Co., Ltd",Small scale,Small,2014-03-26T00:00:00Z,2014-03-26,2016-03-25T00:00:00Z,2016-03-25,Gold,Gold,20.0,20.0,Shin Bawe Yan,Shin Bawe Yan,KSBY-49
0208/2014,"Thiri Phyo Wai Co., Ltd","Thiri Phyo Wai Co., Ltd",Small scale,Small,2014-07-17T00:00:00Z,2014-07-17,2015-07-16T00:00:00Z,2015-07-16,Gold,Gold,20.0,20.0,Shin Bawe Yan,Shin Bawe Yan,KSBY-48
0192/2011,"San Lin International
Ehport and Import 
Co.,Ltd","San Lin International Ehport and Import Co.,Ltd",Small scale,Small,2011-02-25T00:00:00Z,2011-02-25,2016-02-24T00:00:00Z,2016-02-24,Gold,Gold,20.0,20.0,Naung Chain,Naung Chain,KWM-102
0050/2015,"San Lin International
Ehport and Import 
Co.,Ltd","San Lin International Ehport and Import Co.,Ltd",Small scale,Small,2015-02-04T00:00:00Z,2015-02-04,2016-02-03T00:00:00Z,2016-02-03,Gold,Gold,20.0,20.0,Man daung,Man daung,KWM-87
