Code/Ref,License holder,Company_Name_cl,Type of License,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_km2_cl,Location (Region),Location_state_cl,Location (Township),License_location_cl,Location (Detail),License_location_code_1_cl,Coordinates of the license area
Production 00014/2000,"Triple A Cement International Co., Ltd","Triple A Cement International Co., Ltd",Large Scale,Large,7.4.2015,2015-04-07,6.4.2020,2020-04-06,Coal,Coal,0.284,0.284,Shan,Shan,Hsipaw,Hsipaw,Sanlaung,Sanlaung,93 F/6
Production 0010/2012,"Triple A Cement International Co., Ltd","Triple A Cement International Co., Ltd",Large Scale,Large,20.7.2012,2012-07-20,19.7.2022,2022-07-19,Line Stone,Limestone,1.201,1.201,Manadalay,Mandalay,Kyaukse,Kyaukse,Lin Noe Taung,Lin Noe Taung,93  C/6
Production 0042/2011,"Triple A Cement International Co., Ltd","Triple A Cement International Co., Ltd",Large Scale,Large,5.9.2016,2016-09-05,4.9.2017,2017-09-04,Gypsum,Gypsum,0.607,0.607,Shan ,Shan,Hsipaw,Hsipaw,Kwin Pyin,Kwin Pyin,93 C/7 F
Production 0004/2015,"Triple A Cement International Co., Ltd","Triple A Cement International Co., Ltd",Large Scale,Large,11.2.2015,2015-02-11,10.2.2025,2025-02-10,Line Stone,Limestone,0.254,0.254,Shan ,Shan,Ywar Ngan,Ywar Ngan,Kanyuttaung,Kanyuttaung,
Production 0041/2012,"Triple A Cement International Co., Ltd","Triple A Cement International Co., Ltd",Large Scale,Large,5.9.2012,2012-09-05,4.9.2016,2016-09-04,Bauxide,Bauxite,0.144,0.144,Manadalay,Mandalay,Kyaukse,Kyaukse,Boe Tawgyi,Boe Tawgyi,
Production 0002/2004,"UE Export Import Co., Ltd","UE Export Import Co., Ltd",Large Scale,Large,27.1.2016,2016-01-27,26.1.2017,2017-01-26,Coal,Coal,7.409,7.409,Shan,Shan,Hsipaw,Hsipaw,Ma Khaw,Ma Khaw,93 F/10
Production 0006/2008,"UE Export Import Co., Ltd","UE Export Import Co., Ltd",Large Scale,Large,10.11.2008,2008-11-10,9.11.2018,2018-11-09,Lime Stone,Limestone,0.129,0.129,Mandalay,Mandalay,Kyaukse ,Kyaukse,Taung Ni Ma Taung,Taung Ni Ma Taung,93 C/6
Production 0006/2004,"Tun Thwin Mining Co., Ltd","Tun Thwin Mining Co., Ltd",Large Scale,Large,9.7.2004,2004-07-09,8.7.2019,2019-07-08,Coal,Coal,18.211,18.211,Sagaing,Sagaing,Kalewa,Kalewa,Pluzawa,Pluzawa,84 I / 7 
Production 0001/2007,"Geo Asia Industry and Mining Co., Ltd.","Geo Asia Industry and Mining Co., Ltd.",Large Scale,Large,28.12.2007,2007-12-28,27.12.2017,2017-12-27,Coal,Coal,9.406,9.406,Sagaing,Sagaing,Mawleik,Mawleik,Mawleik Gyi and ,Mawleik Gyi and,84 I/ 6
Production 0005/2008,YCDC,YCDC,Large Scale,Large,10.10.2008,2008-10-10,9.11.2018,2018-11-09,Coal,Coal,16.612,16.612,Sagaing,Sagaing,Mawleik,Mawleik,Dae Thawe Kyauk,Dae Thawe Kyauk,84 I/ 5
Production 0004/2008,"Myanmar CNICO Co., Ltd.","Myanmar CNICO Co., Ltd.",Large Scale,Large,28.7.2008,2008-07-28,27.8.2028,2028-08-27,Ferro Nickel,Ferronickel,20.59,20.59,Mandalay,Mandalay,Htee Kyaunt,Htee Kyaunt,Tagaung Taung ,Tagaung Taung,93 A/2
Production 0001/2012,"Myanmar  SINCO  Song  Da  Joint Stock  Co.,  ltd.","Myanmar SINCO Song Da Joint Stock Co., ltd.",Large Scale,Large,16.3.2012,2012-03-16,15.3.2032,2032-03-15,Marble Decorative,Decorative Marble,2.37,2.37,Rakhine,Rakhine,Taung  Kuit,Taung Kuit,Nay pu Taung,Nay pu Taung,
Production 0001/2009,"Max Myanmar Co., Group.","Max Myanmar Co., Group.",Large Scale,Large,18.8.2009,2009-08-18,17.8.2034,2034-08-17,Lime Stone,Limestone,0.93,0.93,Mandalay,Mandalay,Lewe,Lewe,Taung Phelar,Taung Phelar,94 A/6 V
Production 0008/2011,"Max Myanmar Co., Group.","Max Myanmar Co., Group.",Large Scale,Large,21.1.2011,2011-01-21,20.1.2036,2036-01-20,Coal,Coal,21.236,21.236,Sagaing,Sagaing,Kalewa,Kalewa,Thit Chauk,Thit Chauk,"84 I/4,7,8 RU"
Production 0005/2014,"Max Myanmar Co., Group.","Max Myanmar Co., Group.",Large Scale,Large,9.4.2014,2014-04-09,8.4.2024,2024-04-08,Coal,Coal,3.751,3.751,Mandalay,Mandalay,Tharsi,Tharsi,Tayatchaung,Tayatchaung,
Production 0004/2009,Htoo International Industrial ,Htoo International Industrial,Large Scale,Large,4.2.2011,2011-02-04,3.2.2020,2020-02-03,Lime Stone,Limestone,3.844,3.844,Mandalay,Mandalay,Tharsi,Tharsi,Pyi Nyaung ,Pyi Nyaung,84 I/4 HRU
Production 0010/2011,"Group Co., Ltd","Group Co., Ltd",Large Scale,Large,11.11.2009,2009-11-11,11.11.2034,2034-11-11,Coal,Coal,24.302,24.302,Sagaing,Sagaing,Kalewa,Kalewa,Thit Chauk,Thit Chauk,93 D. 5 LL
Production 0005/2010,"May Flower Enterprise Co., Ltd.","May Flower Enterprise Co., Ltd.",Large Scale,Large,26.3.2010,2010-03-26,25.3.2035,2035-03-25,Coal,Coal,2.428,2.428,Tanintharyi,Tanintharyi,Myittar,Myittar,Banchaung,Banchaung,95 K/ 9
Production 0006/2010,"May Flower Enterprise Co., Ltd.","May Flower Enterprise Co., Ltd.",Large Scale,Large,26.3.2010,2010-03-26,25.3.2035,2035-03-25,Coal,Coal,2.428,2.428,Tanintharyi,Tanintharyi,Myittar,Myittar,Banchaung,Banchaung,95 K/ 9
Production 0007/2010,"May Flower Enterprise Co., Ltd.","May Flower Enterprise Co., Ltd.",Large Scale,Large,26.3.2010,2010-03-26,25.3.2035,2035-03-25,Coal,Coal,2.428,2.428,Tanintharyi,Tanintharyi,Myittar,Myittar,Banchaung,Banchaung,95 K/ 9
Production 0005/2012,"May Flower Enterprise Co., Ltd.","May Flower Enterprise Co., Ltd.",Large Scale,Large,30.5.2012,2012-05-30,29.5.2022,2022-05-29,Coal,Coal,6.07,6.07,Tanintharyi,Tanintharyi,Myittar,Myittar,Banchaung,Banchaung,95 K/ 9
Production 0006/2012,"May Flower Enterprise Co., Ltd.","May Flower Enterprise Co., Ltd.",Large Scale,Large,30.5.2012,2012-05-30,29.5.2022,2022-05-29,Coal,Coal,6.07,6.07,Tanintharyi,Tanintharyi,Myittar,Myittar,Banchaung,Banchaung,95 K/ 9
