Code/Ref,License holder,Company_name_cl,Type of License,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_km2_cl,Location (Region),Location_state_cl,Location (Township),License_location_cl,Location (Detail),License_location_code_1_cl,Coordinates of the license area
Production 0002/2011,"UE Export Import Co., Ltd","UE Export Import Co., Ltd",Small  Scale,Small,31.3.2014,2014-03-31,30.3.2019,2019-03-30,Coal,Coal,0.2,0.2,Shan,Shan,Laishao,Laishao,Sin Taung,Sin Taung,93 E /12 & 16 ST
Production 0020/2013,"Model industry Co., Ltd.","Model industry Co., Ltd.",Small  Scale,Small,1.3.2009,2009-03-01,28.2.2015,2015-02-28,Barite,Barite,0.2,0.2,Mandalay,Mandalay,Kyauk Se,Kyauk Se,Pyauk In,Pyauk In,93 C/7&8
Production 0016/2009,"Sai Long Hein Mining Co., Ltd.","Sai Long Hein Mining Co., Ltd.",Small  Scale,Small,9.4.2015,2015-04-09,8.4.2016,2016-04-08,Maganese Dioxide,Manganese Dioxide,0.2,0.2,Shan,Shan,Tachileik,Tachileik,Parshian,Parshian,93 P/14
Production 0063/2011,"Sai Long Hein Mining Co., Ltd.","Sai Long Hein Mining Co., Ltd.",Small  Scale,Small,9.11.2012,2012-11-09,8.11.2015,2015-11-08,Maganese Dioxide,Manganese Dioxide,0.2,0.2,Shan,Shan,Tachileik ,Tachileik,Arrye,Arrye,
Production 0045/2009,"Nan Ka Naung Mining and Enginering Co., Ltd.","Nan Ka Naung Mining and Enginering Co., Ltd.",Small  Scale,Small,19.12.2009,2009-12-19,18.12.2016,2016-12-18,Maganese Dioxide,Manganese Dioxide,1.001,1.001,Tanintharyi,Tanintharyi,Boatbyin,Boatbyin,Parwei Kyaun,Parwei Kyaun,"96 I/7&11


"
Production 0046/2009,"Nan Ka Naung Mining and Enginering Co., Ltd.","Nan Ka Naung Mining and Enginering Co., Ltd.",Small  Scale,Small,19.12.2009,2009-12-19,18.12.2016,2016-12-18,Maganese Dioxide,Manganese Dioxide,1.001,1.001,Tanintharyi,Tanintharyi,Boatbyin,Boatbyin,Parwei Kyaun,Parwei Kyaun,"96 I/7&11


"
Production 0047/2009,"Nan Ka Naung Mining and Enginering Co., Ltd.","Nan Ka Naung Mining and Enginering Co., Ltd.",Small  Scale,Small,19.12.2009,2009-12-19,18.12.2016,2016-12-18,Maganese Dioxide,Manganese Dioxide,1.001,1.001,Tanintharyi,Tanintharyi,Boatbyin,Boatbyin,Parwei Kyaun,Parwei Kyaun,"96 I/7&11


"
Producton 0033/2009,"Naung Tone Dragon Co., Ltd.","Naung Tone Dragon Co., Ltd.",Small  Scale,Small,28.7.2009,2009-07-28,27.7.2016,2016-07-27,Maganese Dioxide,Manganese Dioxide,0.198,0.198,Shan,Shan,Mine Phyat,Mine Phyat,Wan Sar Loe,Wan Sar Loe,93 P/13
Production 0031/2009,"Nway Oo Ya - Nant Mining Co., Ltd. ","Nway Oo Ya - Nant Mining Co., Ltd.",Small  Scale,Small,2.7.2015,2015-07-02,1.7.2016,2016-07-01,Maganese Dioxide,Manganese Dioxide,0.4,0.4,Shan,Shan,Mine Phyat,Mine Phyat,Wan Sar Loe,Wan Sar Loe,93 P/13
Production 0022/2010,"Nway Oo Ya - Nant Mining Co., Ltd. ","Nway Oo Ya - Nant Mining Co., Ltd.",Small  Scale,Small,2.7.2015,2015-07-02,1.7.2016,2016-07-01,Maganese Dioxide,Manganese Dioxide,0.4,0.4,Shan,Shan,Mine Phyat,Mine Phyat,Wan Sar Loe,Wan Sar Loe,93 P/13
Production 0007/2010,"Wunna Thein Than Mining Co., Ltd.","Wunna Thein Than Mining Co., Ltd.",Small  Scale,Small,16.9.2009,2009-09-16,15.9.20015,2015-09-15,Manganese Dioxide,Manganese Dioxide,0.4,0.4,Shan,Shan,Tachilate,Tachilate,Arr Ye,Arr Ye,93 P/14
Production 0065/2012,"Wunna Thein Than Mining Co., Ltd.","Wunna Thein Than Mining Co., Ltd.",Small  Scale,Small,16.9.2009,2009-09-16,15.9.20015,2015-09-15,Manganese Dioxide,Manganese Dioxide,0.4,0.4,Shan,Shan,Tachilate,Tachilate,Arr Ye,Arr Ye,93 P/14
Production 0009/2010,"San Parami Mining Co., Ltd.","San Parami Mining Co., Ltd.",Small  Scale,Small,21.10.2009,2009-10-21,20.10.2016,2016-10-20,Manganese Dioxide,Manganese Dioxide,0.198,0.198,Shan,Shan,Tachilate,Tachilate,Arr Ye,Arr Ye,93 P/14
Production 0001/2010,"Aung A 1 Star Family Co., Ltd.","Aung A 1 Star Family Co., Ltd.",Small  Scale,Small,27.5.2010,2010-05-27,26.5.2016,2016-05-26,Decorative Lime Stone,Decorative Limestone,0.307,0.307,Mon,Mon,Kyauk Ma Yaw,Kyauk Ma Yaw,Kat Ka Lut,Kat Ka Lut,94 X/11&15
Production 0017/2014,"Aung A 1 Star Family Co., Ltd.","Aung A 1 Star Family Co., Ltd.",Small  Scale,Small,15.1.2014,2014-01-15,14.1.2019,2019-01-14,Decorative Lime Stone,Decorative Limestone,,,Mon,Mon,Kyauk Ma Yaw,Kyauk Ma Yaw,Kat Ka Lut,Kat Ka Lut,
Production 0009/2011,"Aung A 1 Star Family Co., Ltd.","Aung A 1 Star Family Co., Ltd.",Small  Scale,Small,28.2.2014,2014-02-28,27.2.2024,2024-02-27,Clay,Clay,0.009,0.009,Mon,Mon,Mudon,Mudon,Dagondaing,Dagondaing,94  H/16
Production 0001/2011,"Shwe Ohn Pwint Co., Ltd.","Shwe Ohn Pwint Co., Ltd.",Small  Scale,Small,11.1.2011,2011-01-11,10.1.2017,2017-01-10,Coal,Coal,0.2,0.2,Shan,Shan,Naung Cho,Naung Cho,Than Taung Kwin,Than Taung Kwin,93 B/12
Production 0053/2011,"Shan Yoma Aye Chan Yae Goal In Mines Product Co., Ltd","Shan Yoma Aye Chan Yae Goal In Mines Product Co., Ltd",Small  Scale,Small,12.5.2011,2011-05-12,11.5.2017,2017-05-11,Coal,Coal,0.971,0.971,Shan,Shan,Tant Yan,Tant Yan,Phar So And Mat Paing ,Phar So And Mat Paing,93 F/13
Production 0054/2011,"Shan Yoma Aye Chan Yae Goal In Mines Product Co., Ltd","Shan Yoma Aye Chan Yae Goal In Mines Product Co., Ltd",Small  Scale,Small,12.5.2011,2011-05-12,11.5.2017,2017-05-11,Coal,Coal,0.971,0.971,Shan,Shan,Tant Yan,Tant Yan,Phar So And Mat Paing ,Phar So And Mat Paing,93 F/13
Production 0055/2011,"Shan Yoma Aye Chan Yae Goal In Mines Product Co., Ltd","Shan Yoma Aye Chan Yae Goal In Mines Product Co., Ltd",Small  Scale,Small,11.6.2013,2013-06-11,10.6.2016,2016-06-10,Coal,Coal,,,Shan,Shan,Lashio ,Lashio,Kaung Paung,Kaung Paung,
Production 0056/2011,"Shan Yoma Aye Chan Yae Goal In Mines Product Co., Ltd","Shan Yoma Aye Chan Yae Goal In Mines Product Co., Ltd",Small  Scale,Small,11.6.2013,2013-06-11,10.6.2016,2016-06-10,Coal,Coal,,,Shan,Shan,Lashio ,Lashio,Kaung Paung,Kaung Paung,
Production 008/2011,"Ruby Dragon Mining Co., Ltd.","Ruby Dragon Mining Co., Ltd.",Small  Scale,Small,25.2.2017,2017-02-25,24.2.2018,2018-02-24,Gypsum,Gypsum,0.995,0.995,Shan ,Shan,Mauk Mae,Mauk Mae,Nant Lut,Nant Lut,93 H/12
Production 0007/2011,"Myint Oo Aung Co., Ltd,","Myint Oo Aung Co., Ltd,",Small  Scale,Small,25.2.2011,2011-02-25,24.22016,2016-02-24,Manganese Dioxide,Manganese Dioxide,0.198,0.198,Shan,Shan,Tachileik ,Tachileik,Arrye,Arrye,93 P/14
Production 0021/2010,"Tun Kyawe Paw co., Ltd.","Tun Kyawe Paw co., Ltd.",,,29.12.2010,2010-12-29,28.12.2017,2017-12-28,Coal,Coal,0.4,0.4,Shan,Shan,Kyauk me,Kyauk me,Narsai,Narsai,93P/8
Production 0022/2010,"Tun Kyawe Paw co., Ltd.","Tun Kyawe Paw co., Ltd.",,,29.12.2010,2010-12-29,28.12.2017,2017-12-28,Coal,Coal,0.4,0.4,Shan,Shan,Kyauk me,Kyauk me,Narsai,Narsai,93P/8
Production 0023/2012,"Sein Chi Lin Co., Ltd.","Sein Chi Lin Co., Ltd.",Small  Scale,Small,27.4.2012,2012-04-27,26.4.2017,2017-04-26,Coal,Coal,0.4,0.4,Magwe,Magway,Minbu,Minbu,Kyauk Sat,Kyauk Sat,84 L /12 & 85 I/ 9
Production 0024/2012,"Sein Chi Lin Co., Ltd.","Sein Chi Lin Co., Ltd.",Small  Scale,Small,27.4.2012,2012-04-27,26.4.2017,2017-04-26,Coal,Coal,0.4,0.4,Magwe,Magway,Minbu,Minbu,Kyauk Sat,Kyauk Sat,84 L /12 & 85 I/ 9
Production 0042/2014,"Sein Chi Lin Co., Ltd.","Sein Chi Lin Co., Ltd.",Small  Scale,Small,1.10.2014,2014-10-01,30.9.2019,2019-09-30,Coal,Coal,1.092,1.092,Magwe,Magway,Minbu,Minbu,Kyauk Sat,Kyauk Sat,
Production 0043/2014,"Sein Chi Lin Co., Ltd.","Sein Chi Lin Co., Ltd.",Small  Scale,Small,1.10.2014,2014-10-01,30.9.2019,2019-09-30,Coal,Coal,1.092,1.092,Magwe,Magway,Minbu,Minbu,Kyauk Sat,Kyauk Sat,
Production 0058/2012,"Thu Kha Pan Thu Mining Co., Ltd.","Thu Kha Pan Thu Mining Co., Ltd.",Small  Scale,Small,5.12.2012,2012-12-05,4.12.2022,2022-12-04,Coal,Coal,0.938,0.938,Manadalay,Mandalay,Tharzi,Tharzi,Kyat Sakhan,Kyat Sakhan,93 D/5
Production 0059/2012,"Thu Kha Pan Thu Mining Co., Ltd.","Thu Kha Pan Thu Mining Co., Ltd.",Small  Scale,Small,5.12.2012,2012-12-05,4.12.2022,2022-12-04,Coal,Coal,0.938,0.938,Manadalay,Mandalay,Tharzi,Tharzi,Kyat Sakhan,Kyat Sakhan,93 D/5
Production 0060/2012,"Thu Kha Pan Thu Mining Co., Ltd.","Thu Kha Pan Thu Mining Co., Ltd.",Small  Scale,Small,5.12.2012,2012-12-05,4.12.2022,2022-12-04,Coal,Coal,0.938,0.938,Manadalay,Mandalay,Tharzi,Tharzi,Kyat Sakhan,Kyat Sakhan,93 D/5
Production 0061/2012,"Thu Kha Pan Thu Mining Co., Ltd.","Thu Kha Pan Thu Mining Co., Ltd.",Small  Scale,Small,5.12.2012,2012-12-05,4.12.2022,2022-12-04,Coal,Coal,0.938,0.938,Manadalay,Mandalay,Tharzi,Tharzi,Kyat Sakhan,Kyat Sakhan,93 D/5
Production 0062/2012,"Thu Kha Pan Thu Mining Co., Ltd.","Thu Kha Pan Thu Mining Co., Ltd.",Small  Scale,Small,5.12.2012,2012-12-05,4.12.2022,2022-12-04,Coal,Coal,0.938,0.938,Manadalay,Mandalay,Tharzi,Tharzi,Kyat Sakhan,Kyat Sakhan,93 D/5
Production 0063/2012,"Thu Kha Pan Thu Mining Co., Ltd.","Thu Kha Pan Thu Mining Co., Ltd.",Small  Scale,Small,5.12.2012,2012-12-05,4.12.2022,2022-12-04,Coal,Coal,0.938,0.938,Manadalay,Mandalay,Tharzi,Tharzi,Kyat Sakhan,Kyat Sakhan,93 D/5
Production 0064/2012,"Thu Kha Pan Thu Mining Co., Ltd.","Thu Kha Pan Thu Mining Co., Ltd.",Small  Scale,Small,5.12.2012,2012-12-05,4.12.2022,2022-12-04,Coal,Coal,0.938,0.938,Manadalay,Mandalay,Tharzi,Tharzi,Kyat Sakhan,Kyat Sakhan,93 D/5
Production 0040/2012,"Myanmar Ruby Enterprise Jems Co., Ltd.","Myanmar Ruby Enterprise Jems Co., Ltd.",Small  Scale,Small,5.9.2012,2012-09-05,4.9.2016,2016-09-04,Gypsum,Gypsum,0.736,0.736,TaninTharyi,Tanintharyi,Dawei,Dawei,Sin Phyu Taing,Sin Phyu Taing,93 k/13
Production 0002/2012,"Mahar Shwe Lawone Mining Co., Ltd.","Mahar Shwe Lawone Mining Co., Ltd.",Small  Scale,Small,10.0.2012,2011-12-10,9.1.2016,2016-01-09,Manganese Dioxide,Manganese Dioxide,0.2,0.2,Shan,Shan,Tachilenk,Tachilenk,Hakyar,Hakyar,93 P/14
Production 0043/2012,"Myint Maung Win Mining Co., Ltd.","Myint Maung Win Mining Co., Ltd.",Small  Scale,Small,5.9.2012,2012-09-05,4.9.2015,2015-09-04,Manganese Dioxide,Manganese Dioxide,0.2,0.2,Shan,Shan,Tachilenk,Tachilenk,Naryaung,Naryaung,93 P/13&14
Production 0043/2012,"Myint Maung Win Mining Co., Ltd.","Myint Maung Win Mining Co., Ltd.",Small  Scale,Small,5.9.2012,2012-09-05,4.9.2015,2015-09-04,Manganese Dioxide,Manganese Dioxide,0.2,0.2,Shan,Shan,Tachilenk,Tachilenk,Naryaung,Naryaung,93 P/13&14
Production 0028/2012,"Hein Lin San Mining Co., Ltd,","Hein Lin San Mining Co., Ltd,",Small  Scale,Small,16.9.2012,2012-09-16,15.9.2016,2016-09-15,Manganese Dioxide,Manganese Dioxide,0.4,0.4,Shan,Shan,Tachilenk,Tachilenk,Arrye,Arrye,93 P/14
Production 0038/2012,"Angelo Mining Co., Ltd,","Angelo Mining Co., Ltd,",Small  Scale,Small,20.8.2012,2012-08-20,19.8.2016,2016-08-19,Marble ,Marble,0.121,0.121,Manadalay,Mandalay,Mattyar,Mattyar,Myae Pon Kan and Ye Chan Sin TaungWaw Su,Myae Pon Kan and Ye Chan Sin TaungWaw Su,93 B/3L
Production 0039/2012,"Angelo Mining Co., Ltd,","Angelo Mining Co., Ltd,",Small  Scale,Small,20.8.2012,2012-08-20,19.8.2016,2016-08-19,Marble ,Marble,0.121,0.121,Manadalay,Mandalay,Mattyar,Mattyar,Myae Pon Kan and Ye Chan Sin TaungWaw Su,Myae Pon Kan and Ye Chan Sin TaungWaw Su,93 B/3L
Production 0003/2013,"New Shine Seven Co., Ltd.","New Shine Seven Co., Ltd.",Small  Scale,Small,25.3.2013,2013-03-25,24.3.2018,2018-03-24,Coal,Coal,0.259,0.259,Shan,Shan,Theinni,Theinni,Kaung I,Kaung I,93 E/15
Production 0003/2015,"New Shine Seven Co., Ltd.","New Shine Seven Co., Ltd.",Small  Scale,Small,18.1.2015,2015-01-18,17.1.2020,2020-01-17,Coal,Coal,0.54,0.54,Shan,Shan,Theinni,Theinni,Kaung I,Kaung I,
Production 0010/2013,"ingyin Taung Co., Ltd.","ingyin Taung Co., Ltd.",Small  Scale,Small,10.4.2013,2013-04-10,9.4.2016,2016-04-09,Coal,Coal,0.334,0.334,Magwe ,Magway,Min Hla,Min Hla,Kantoke,Kantoke,85 I /9
Production 0011/2013,"ZabuThit Mining Co., Ltd.","ZabuThit Mining Co., Ltd.",Small  Scale,Small,11.6.2013,2013-06-11,10.6.2016,2016-06-10,Coal,Coal,0.25,0.25,Magwe ,Magway,Nga Phae,Nga Phae,Oe Myay Twin,Oe Myay Twin,84 L/12
Production 0014/2013,"Peace Green World Co., Ltd,","Peace Green World Co., Ltd,",Small  Scale,Small,19.6.2013,2013-06-19,18.6.2016,2016-06-18,Coal,Coal,0.745,0.745,Magwe ,Magway,Min Hla,Min Hla,Ngae Taung Tan,Ngae Taung Tan,85 I/9
Production 0015/2013,"Galaxy Myanmar Co., Ltd.","Galaxy Myanmar Co., Ltd.",Small  Scale,Small,3.7.2013,2013-07-03,2.7.2016,2016-07-02,Coal,Coal,0.408,0.408,Magwe ,Magway,Min Hla,Min Hla,Kantoke,Kantoke,85 I /9
Production 0016/2013,"Manadaly Gold Friend Mining Co., Ltd.","Manadaly Gold Friend Mining Co., Ltd.",Small  Scale,Small,3.7.2014,2014-07-03,2.7.2016,2016-07-02,Coal,Coal,0.716,0.716,Sagaing,Sagaing,Kalewa,Kalewa,Pluzawa,Pluzawa,84 I / 7 
Production 0002/2013,"Kyauk Saung Ni Production  Co., Ltd.","Kyauk Saung Ni Production Co., Ltd.",Small  Scale,Small,5.12.2012,2012-12-05,4.12.2015,2015-12-04,Manganese Dioxide,Manganese Dioxide,0.2,0.2,Shan,Shan,Tachileik,Tachileik,Arr Ye,Arr Ye,94 P/14
