Code/Ref,Company_Name_cl,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_acre_cl,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,Location_working 4,Coordinates of the license area,Column 10
 0005/2009,"Htoo International Co.,Ltd",Large,21.12.2009,2009-01-21,20.12.2019,2019-12-20,Iron,Iron,38.7424,38.7424,"Kachin,Waing Maw, Kantawyan",Kachin,Waing Maw, Kantawyan,,"92G/8+15(200040,280040,280970,200970)  ",
0021/2015,Chain Yein Taung Mining,Large,5.8.2015,2015-01-05,4.8.2025,2025-08-04,Marble,Marble,0.20032,0.20032,"Kachin,Chipwi,lanyan",Kachin,Chipwi,lanyan,,"92 K/5(038276,038280,044280,044276 )",
0023/2015,Chain Yein Taung Mining,Large,2.9.2015,2015-01-02,1.9.2025,2025-09-01,Marble,Marble,0.8013,0.8013,"Kachin,SawLaw,ManBywal",Kachin,SawLaw,ManBywal,,"92J/8(036334,037335,043325,039324),(039324, 043325,046316,043315),(030233,030237,036237, 036233),(030227,030233,034233,034227)",
0028/2015,San Linn International,Large,20.8.2015,2015-01-20,19.8.2030,2030-08-19,Iron,Iron,0.8013,0.8013,"Kachin,Chipwi, Hpimaw",Kachin,Chipwi, Hpimaw,,"92K/9 (365178,369178,365172) (353177,357177, 357171,353171)(358172,3642172,364168,358168,358182,364182,364178,358178)",
 1/2012,Kayar State Mineral Production Limited,Large,28.2.2014,2014-01-28,27.2.2019,2019-02-27,Tin & Tungsten Associated,Tin and Tungsten Associated,28.4257,28.4257,"Kayah,Phar Saung,Maw Chee",Kayah,Phar Saung,Maw Chee,,"94F/1(683884,694850,695832,710828,715800, 745796,760806, 760841,743843,735856, 728852, 707884)",
 12/2001,"Tha Byu Mining Co.,Ltd",Large,12.12.2011,2011-01-12,11.12.2016,2016-12-11,Antimony,Antimony,16.0259,16.0259,"Kayin,KyarInn Sate Gyi,Tapyut",Kayin,KyarInn Sate Gyi,Tapyut,,"95I/6(133920, 150920, 150890, 190850, 150850,133860)",
 0002/2010,"Sliver Lion Mining Co.,Ltd",Large,12.12.2011,2011-01-12,11.12.2016,2016-12-11,Antimony,Antimony,0.17402,0.17402,"Kayin, Pha-An,Kyat Tite Kwin ",Kayin, Pha-An,Kyat Tite Kwin ,,"94A/12(104061,102056,108058, 108060)",
0041/2011,"United Cement Co.,Ltd",Large,30.3.2011,2011-01-30,29.3.2021,2021-03-29,Limestone,Limestone,6.47106,6.47106,"Kayin,Pha-An,Mikayin Taung
Kyal Pyin Taung",Kayin,Pha-An,"Mikayin Taung
Kyal Pyin Taung",,"94h/9(213574,215574,221556, 226560, 226558, 216558,215563, 212568) 94g/12(154648,174634, 180620,192620, 196605,194604, 190609,180610, 175626, 158630, 156626,150626,150635,154637)",
 0011/2015,Myanmar Economic Corporation,Large,27.5.2015,2015-01-27,29.7.2026,2026-07-29,Limestone,Limestone,1.02226,1.02226,"Kayin,Pha-An, ThanDine Taung",Kayin,Pha-An, ThanDine Taung,,"94H /9(198443,200437,191443,1858446,178454, 176454,174452,181444,187441)(174476,176456,173461,168463,167462)",
0013/2015,Myanmar Economic Corporation,Large,3.6.2015,2015-01-03,29.7.2026,2026-07-29,Clay,Clay,0.16034,0.16034,"Kayin,Pha-An, ThanDine Taung",Kayin,Pha-An, ThanDine Taung,,"94H/9 (208466,209466,211464,210458,208458, 207460,207462,208462)",
 0014/2015,Myanmar Economic Corporation,Large,3.6.2015,2015-01-03,29.7.2026,2026-07-29,Clay,Clay,0.35314,0.35314,"Kayin,Pha-An, ThanDine Taung",Kayin,Pha-An, ThanDine Taung,,"94H/9  (205441,211433,216432,208433, 204432,203433,203436,202437)",
 0001/2011,Myanma Economic Holding Ltd.,Large,"3.1.2011
5.3.2010",2011-01-03,"2.1.2036
4.3.2038",2038-03-04,Copper,Copper,22.76,22.76,"Sagaing,SarLinngyi,KyalSin Taung",Sagaing,SarLinngyi,KyalSin Taung,,84 N/4  84 J/16,
 0010/2011,"Htoo International Co.,Ltd",Large,4.2.2011,2011-01-04,3.2.2021,2021-02-03,Coal,Coal,24.3026,24.3026,"Sagaing, Kalay Wa,La Bin Chaung",Sagaing, Kalay Wa,La Bin Chaung,,"84  I/4,8 RU(740698,787698, 786660,739660 ) (730600,773600, 769573,730573)",
 6/2004,"Htun Thwin Mining Co.,Ltd",Large,9.7.2004 9.7.2014,2004-01-09,8.7.2014 8.7.2019,2019-07-08,Coal,Coal,18.2113,18.2113,"Sagaing,Kalay Wa,PaLuZawa Chung",Sagaing,Kalay Wa,PaLuZawa Chung,,"84 I /7(789999,786840, 777840,767760, 782760,792840, 796999)",
 1/2007,ThiHa Thant Hein Mining,Large,"27.12.2017
21.1.2015",2017-01-27,"26.12.2032
26.12.2032",2032-12-26,Coal,Coal,9.40664,9.40664,"Sagaing,Mawlite,MawLiteGyi",Sagaing,Mawlite,MawLiteGyi,,"84 I/6 RP(825320,835320, 835270,830270, 830195,815195, 815220,825220)",
 0005/2008,YCDC,Large,10.11.1008,2008-01-10,9.11.2033,2033-11-09,Coal,Coal,16.6124,16.6124,"Sagaing,Mawlite, Dartawe Kyaut Chaung",Sagaing,Mawlite, Dartawe Kyaut Chaung,,"84 I/5(844579,866563, 818505,791521)",
