Code/Ref,License holder,Company_name_cl,Type of License,License_type_cl,PSC ratio,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_km2_cl,Location (Region),Location_state_cl
"5/1999
22/2019","Myanmar Pongpipat Co.,L td ","Myanmar Pongpipat Co.,L td",production,Production,35 : 65,1.7.1999,1999-07-01,30.6.2019,2019-06-30,"Tin/ Tungsten
mixed Ore",Tin and Tungsten Ore,8.54,8.54,Taninthayi,Tanintharyi
8/2004,"Silver Bright  Co,Lt d","Silver Bright Co,Lt d",production,Production,32.8 : 67.2,12.8.2004,2004-08-12,11.8.2019,2019-08-11,"Tin/ Tungsten 
Mixed Ore",Tin and Tungsten Ore,11.82,11.82,Taninthayi,Tanintharyi
0002/2015,"Mining World Co.,Ltd","Mining World Co.,Ltd",production,Production,32.8 : 67.2,12.1.2015,2015-01-12,11.2.2025,2025-02-11,"Tin/ Tungsten 
Mixed Ore",Tin and Tungsten Ore,1.63,1.63,Taninthayi,Tanintharyi
2/2002,"A&A, Natural Resources Development Co,Lt d","A&A, Natural Resources Development Co,Lt d",production,Production,32.8 : 67.2,28.2.2002,2002-02-28,27.2.2017,2017-02-27,"Tin/ Tungsten 
Mixed Ore",Tin and Tungsten Ore,6.69,6.69,Taninthayi,Tanintharyi
0001/2010,"Delco Co.,Ltd","Delco Co.,Ltd",production,Production,32.8 : 67.2,5.1.2010,2010-01-05,4.1.2020,2020-01-04,"Tin/ Tungsten 
Mixed Ore",Tin and Tungsten Ore,8.45,8.45,Taninthayi,Tanintharyi
27/1999,"Myanmar Tin and Tungsten Co.,Ltd ","Myanmar Tin and Tungsten Co.,Ltd",production,Production,30 : 70,1.12.1999,1999-12-01,30.11.2019,2019-11-30,"Tin/ Tungsten 
Mixed Ore",Tin and Tungsten Ore,1.19,1.19,Taninthayi,Tanintharyi
008/2012,"Diamond  Shark Mining Co., Ltd","Diamond Shark Mining Co., Ltd",production,Production,32.8 : 67.2,25.4.2012,2012-04-25,24.4.2022,2022-04-24,"Tin/ Tungsten 
Mixed Ore",Tin and Tungsten Ore,2.8,2.8,Taninthayi,Tanintharyi
0004/2013,"Ngwe Ka Ba Myanmar Co.,Ltd ","Ngwe Ka Ba Myanmar Co.,Ltd",production,Production,32.8 : 67.2,9.5.2013,2013-05-09,8.5.2023,2023-05-08,"Tin/ Tungsten 
Mixed Ore",Tin and Tungsten Ore,3.29,3.29,Taninthayi,Tanintharyi
37/2000,"Ngwe Ka Ba Myanmar Co.,Ltd ","Ngwe Ka Ba Myanmar Co.,Ltd",production,Production,32.8 : 67.2,1.11.2000,2000-11-01,30.10.2015,2015-10-30,"Tin/ Tungsten 
Mixed Ore",Tin and Tungsten Ore,7.77,7.77,Taninthayi,Tanintharyi
0001/2016,"Shwe Pinle Mining & Industry Co.,Ltd","Shwe Pinle Mining & Industry Co.,Ltd",production,Production,32.8 : 67.2,28.12.2015,2015-12-28,27.12.2025,2025-12-27,"Tin/ Tungsten 
Mixed Ore",Tin and Tungsten Ore,2.31,2.31,Taninthayi,Tanintharyi
1/2002,"Kayar Mine Production  Co., Ltd","Kayar Mine Production Co., Ltd",production,Production,30 : 70,28.2.2002,2002-02-28,27.2.2019,2019-02-27,"Tin/Tungsten
 Sheelite/
Mixed","Tin, Tungsten and Sheelite",28.43,28.43,"Kayar 
State",Kayah
0026/2010,"Eastern  Mining Co., Ltd ","Eastern Mining Co., Ltd",production,Production,32.8 : 67.2,3.2.2010,2010-02-03,2.2.2017,2017-02-02,"Tin/Tungsten
 Mixed",Tin and Tungsten,0.2,0.2,Taninthayi,Tanintharyi
0027/2010,"Eastern  Mining Co., Ltd ","Eastern Mining Co., Ltd",production,Production,32.8 : 67.2,3.2.2010,2010-02-03,2.2.2017,2017-02-02,"Tin/Tungsten
 Mixed",Tin and Tungsten,0.2,0.2,Taninthayi,Tanintharyi
0028/2010,"Eastern  Mining Co., Ltd ","Eastern Mining Co., Ltd",production,Production,32.8 : 67.2,3.2.2010,2010-02-03,2.2.2017,2017-02-02,"Tin/Tungsten
 Mixed",Tin and Tungsten,0.2,0.2,Taninthayi,Tanintharyi
