Code/Ref,License holder,Company_name_cl,Type of License,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area  (Km2),Area_km2_cl,Location  (Region),License_location_cl,Coordinates of the license area
0080/2015,"Sea Sun Star
Mining Production
& Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",Small scale,Small,2015-03-25,2015-03-25,2017-03-24,2017-03-24,Gold,Gold,20,20,Mine Khun,Mine Khun,KTN-12
0081/2015,"Sea Sun Star
Mining Production
& Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",Small scale,Small,2015-03-25,2015-03-25,2017-03-24,2017-03-24,Gold,Gold,20,20,Mine Khun,Mine Khun,KTN-13
0082/2015,"Sea Sun Star
Mining Production
& Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",Small scale,Small,2015-03-25,2015-03-25,2017-03-24,2017-03-24,Gold,Gold,20,20,Mine Khun,Mine Khun,KTN-23
0083/2015,"Sea Sun Star
Mining Production
& Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",Small scale,Small,2015-03-25,2015-03-25,2017-03-24,2017-03-24,Gold,Gold,20,20,Mine Khun,Mine Khun,KTN-24
0168/2013,"Sea Sun Star
Mining Production
& Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",Small scale,Small,2013-10-02,2013-10-02,2016-10-01,2016-10-01,Gold,Gold,20,20,Mine Khun,Mine Khun,KTN-21
0169/2013,"Sea Sun Star
Mining Production
& Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",Small scale,Small,2013-10-02,2013-10-02,2016-10-01,2016-10-01,Gold,Gold,20,20,Kaung Yar,Kaung Yar,KTN-33
0170/2013,"Sea Sun Star
Mining Production
& Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",Small scale,Small,2013-10-02,2013-10-02,2016-10-01,2016-10-01,Gold,Gold,20,20,Kaung Yar,Kaung Yar,KTN-34
0173/2013,"Sea Sun Star
Mining Production
& Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",Small scale,Small,2013-10-02,2013-10-02,2016-10-01,2016-10-01,Gold,Gold,20,20,Dalue,Dalue,KTN-39
0174/2013,"Sea Sun Star
Mining Production
& Marketing Co., Ltd.","Sea Sun Star Mining Production & Marketing Co., Ltd.",Small scale,Small,2013-10-02,2013-10-02,2016-10-01,2016-10-01,Gold,Gold,20,20,Dalue,Dalue,KTN-40
0112/2009,"Shwe Pyae Phyo 
Gold & Mining Co., Ltd","Shwe Pyae Phyo Gold & Mining Co., Ltd",Small scale,Small,2009-08-17,2009-08-17,2016-08-16,2016-08-16,Gold,Gold,20,20,Shin Bawe Yan,Shin Bawe Yan,KSBY-15
0274/2014,"Bu Yaung Family Co., Ltd","Bu Yaung Family Co., Ltd",Small scale,Small,2014-11-12,2014-11-12,2016-11-11,2016-11-11,Gold,Gold,20,20,Man Daung,Man Daung,KWM-107
0056/2015,"Shwe Sune Thaike 
Co., Ltd","Shwe Sune Thaike Co., Ltd",Small scale,Small,2015-02-11,2015-02-11,2017-02-10,2017-02-10,Gold,Gold,20,20,Naung Chain,Naung Chain,KWM-109
0197/2015,"Jing Hpaw Myae 
Mining Co., Ltd","Jing Hpaw Myae Mining Co., Ltd",Small scale,Small,2015-10-14,2015-10-14,2016-10-13,2016-10-13,Gold,Gold,12,12,Naung Chain,Naung Chain,KWM-110
0012/2016,"Myanmar Academy International Co., Ltd","Myanmar Academy International Co., Ltd",Small scale,Small,2016-02-10,2016-02-10,2017-02-09,2017-02-09,Gold,Gold,20,20,Naung Chain,Naung Chain,KWM-111
0379/2011,"Shwe Moe Thoon Aung Mining Co., Ltd","Shwe Moe Thoon Aung Mining Co., Ltd",Small scale,Small,2011-11-25,2011-11-25,2016-11-24,2016-11-24,Gold,Gold,20,20,Kar Due,Kar Due,KMN-11
0240/2014,"Kan Linn Thu Mining 
Co., Ltd ","Kan Linn Thu Mining Co., Ltd",Small scale,Small,2014-09-17,2014-09-17,2016-09-16,2016-09-16,Gold,Gold,20,20,Kar Due,Kar Due,KMN-12
0130/2012,"Lone Sein Mining Co., Ltd","Lone Sein Mining Co., Ltd",Small scale,Small,2012-08-20,2012-08-20,2016-08-19,2016-08-19,Gold,Gold,20,20,Amatgyi kone,Amatgyi kone,KSG-28A
0168/2012,"Gold Season Private 
Limited",Gold Season Private Limited,Small scale,Small,2012-09-05,2012-09-05,2016-09-04,2016-09-04,Gold,Gold,20,20,ShweNyainChan,ShweNyainChan,KSG-46
0022/2015,"Mahar Shwe Zabu 
Co., Ltd","Mahar Shwe Zabu Co., Ltd",Small scale,Small,2015-01-21,2015-01-21,2017-01-20,2017-01-20,Gold,Gold,20,20,Amatgyi kone,Amatgyi kone,KSG-23
0172/2015,"Natural Gold Mining & Production Co., Ltd","Natural Gold Mining & Production Co., Ltd",Small scale,Small,2015-08-19,2015-08-19,2016-08-18,2016-08-18,Gold,Gold,20,20,Ngarbutgyi,Ngarbutgyi,KSG-49
0173/2015,"Natural Gold Mining & Production Co., Ltd","Natural Gold Mining & Production Co., Ltd",Small scale,Small,2015-08-19,2015-08-19,2016-08-18,2016-08-18,Gold,Gold,20,20,Ngarbutgyi,Ngarbutgyi,KSG-50
0020/2015,"Maha Shwe Zabu Co., Ltd","Maha Shwe Zabu Co., Ltd",Small scale,Small,2015-01-21,2015-01-21,2017-01-20,2017-01-20,Gold,Gold,20,20,Sikhamgyi,Sikhamgyi,KMS-13
0021/2015,"Maha Shwe Zabu Co., Ltd","Maha Shwe Zabu Co., Ltd",Small scale,Small,2015-02-21,2015-02-21,2017-01-20,2017-01-20,Gold,Gold,20,20,Sikhamgyi,Sikhamgyi,KMS-18
0037/2013,"Shwe Phyoe Kywe 
Mining Co., Ltd","Shwe Phyoe Kywe Mining Co., Ltd",Small scale,Small,2013-02-06,2013-02-06,2017-02-05,2017-02-05,Gold,Gold,20,20,Naung Mo,Naung Mo,KBM-3A
0548/2010,"Htoo Ko Ko Co.,Ltd","Htoo Ko Ko Co.,Ltd",Small scale,Small,2010-08-27,2010-08-27,2016-08-26,2016-08-26,Gold,Gold,20,20,Sinn kham,Sinn kham,KBM-10
0233/2014,"Mega Jade Star Mining Co.,Ltd","Mega Jade Star Mining Co.,Ltd",Small scale,Small,2014-08-13,2014-08-13,2016-08-12,2016-08-12,Gold,Gold,20,20,Sinn kham,Sinn kham,KBM-23
0234/2014,"Mega Jade Star Mining Co.,Ltd","Mega Jade Star Mining Co.,Ltd",Small scale,Small,2014-08-13,2014-08-13,2016-08-12,2016-08-12,Gold,Gold,19,19,Sinn kham,Sinn kham,KBM-24
0250/2015,"Imaw Bum Co.,Ltd","Imaw Bum Co.,Ltd",Small scale,Small,2015-12-23,2015-12-23,2016-12-22,2016-12-22,Gold,Gold,19.4,19.4,Sinn kham,Sinn kham,KBM-27
0058/2015,"La Pyi Wun Gold Mining Co.,Ltd","La Pyi Wun Gold Mining Co.,Ltd",Small scale,Small,2015-02-19,2015-02-19,2017-02-18,2017-02-18,Gold,Gold,20,20,Lartarkaw,Lartarkaw,KKLP-3
0153/2015,"Ruby Dragon Mining 
Co., Ltd","Ruby Dragon Mining Co., Ltd",Small scale,Small,2015-07-22,2015-07-22,2016-07-21,2016-07-21,Gold,Gold,20,20,Kyauk Pa Sat,Kyauk Pa Sat,Thadarkyin-2A
0154/2015,"Ruby Dragon Mining 
Co., Ltd","Ruby Dragon Mining Co., Ltd",Small scale,Small,2015-07-22,2015-07-22,2016-07-21,2016-07-21,Gold,Gold,20,20,Kyauk Pa Sat,Kyauk Pa Sat,Yantaikekone
0178/2009,"Ruby Dragon Mining 
Co., Ltd","Ruby Dragon Mining Co., Ltd",Small scale,Small,2009-10-09,2009-10-09,2016-10-08,2016-10-08,Gold,Gold,20,20,Taung Kone,Taung Kone,SWTO-14
0038/2010,"Ruby Dragon Mining 
Co., Ltd","Ruby Dragon Mining Co., Ltd",Small scale,Small,2010-02-04,2010-02-04,2017-02-03,2017-02-03,Gold,Gold,20,20,Taung Kone,Taung Kone,SWTO-24
0674/2010,"Ruby Dragon Mining 
Co., Ltd","Ruby Dragon Mining Co., Ltd",Small scale,Small,2010-10-20,2010-10-20,2016-10-19,2016-10-19,Gold,Gold,20,20,Taung Kone,Taung Kone,SWTO-51
0675/2010,"Ruby Dragon Mining 
Co., Ltd","Ruby Dragon Mining Co., Ltd",Small scale,Small,2010-10-20,2010-10-20,2016-10-19,2016-10-19,Gold,Gold,20,20,Taung Kone,Taung Kone,SWTO-52
0524/2010,"Red Mountain Production co., Ltd.","Red Mountain Production co., Ltd.",Small scale,Small,2010-08-10,2010-08-10,2016-08-09,2016-08-09,Gold,Gold,20,20,Taung Kone,Taung Kone,SWTO-44
0525/2010,"Red Mountain Production co., Ltd.","Red Mountain Production co., Ltd.",Small scale,Small,2010-08-10,2010-08-10,2016-08-09,2016-08-09,Gold,Gold,20,20,Taung Kone,Taung Kone,SWTO-45
0526/2010,"Red Mountain Production co., Ltd.","Red Mountain Production co., Ltd.",Small scale,Small,2010-08-10,2010-08-10,2016-08-09,2016-08-09,Gold,Gold,20,20,Taung Kone,Taung Kone,SWTO-46
0358/2010,"Red Mountain Production co., Ltd.","Red Mountain Production co., Ltd.",Small scale,Small,2010-05-14,2010-05-14,2016-05-13,2016-05-13,Gold,Gold,20,20,Taung Kone,Taung Kone,SWTO-36
0359/2010,"Red Mountain Production co., Ltd.","Red Mountain Production co., Ltd.",Small scale,Small,2010-05-14,2010-05-14,2016-05-13,2016-05-13,Gold,Gold,20,20,Taung Kone,Taung Kone,SWTO-37
0224/2009,"Etarnal Mining Co., Ltd","Etarnal Mining Co., Ltd",Small scale,Small,2009-11-13,2009-11-13,2016-11-12,2016-11-12,Gold,Gold,20,20,Win gyi,Win gyi,SWTO-17
0225/2009,"Etarnal Mining Co., Ltd","Etarnal Mining Co., Ltd",Small scale,Small,2009-11-13,2009-11-13,2016-11-12,2016-11-12,Gold,Gold,20,20,Win gyi,Win gyi,SWTO-18
0226/2009,"Etarnal Mining Co., Ltd","Etarnal Mining Co., Ltd",Small scale,Small,2009-11-13,2009-11-13,2016-11-12,2016-11-12,Gold,Gold,20,20,Win gyi,Win gyi,SWTO-19
0227/2009,"Etarnal Mining Co., Ltd","Etarnal Mining Co., Ltd",Small scale,Small,2009-11-13,2009-11-13,2016-11-12,2016-11-12,Gold,Gold,20,20,Win gyi,Win gyi,SWTO-20
0132/2012,"MCS Mining  Co., Ltd","MCS Mining Co., Ltd",Small scale,Small,2012-08-20,2012-08-20,2016-08-19,2016-08-19,Gold,Gold,20,20,Man gyi Bin,Man gyi Bin,SWTO-53A
0172/2012,"Khaing Ngu War Shwe Co.,Ltd","Khaing Ngu War Shwe Co.,Ltd",Small scale,Small,2012-08-30,2012-08-30,2016-08-29,2016-08-29,Gold,Gold,20,20,Maw Khar,Maw Khar,SWTO-32A
0068/2014,"ArKar Myint Manufacturing Co., Ltd","ArKar Myint Manufacturing Co., Ltd",Small scale,Small,2014-01-08,2014-01-08,2017-01-07,2017-01-07,Gold,Gold,20,20,Man gyi Bin,Man gyi Bin,SWTO-78
0102/2014,"Worm Pool  Co., Ltd","Worm Pool Co., Ltd",Small scale,Small,2014-03-04,2014-03-04,2017-03-03,2017-03-03,Gold,Gold,20,20,Maw Khar,Maw Khar,SWTO-84
0013/2015,"Worm Pool  Co., Ltd","Worm Pool Co., Ltd",Small scale,Small,2015-01-07,2015-01-07,2017-01-06,2017-01-06,Gold,Gold,19.37,19.37,Maw Khar,Maw Khar,SWTO-85
0223/2015,"Worm Pool  Co., Ltd","Worm Pool Co., Ltd",Small scale,Small,2015-12-02,2015-12-02,2016-12-01,2016-12-01,Gold,Gold,20,20,Maw Khar,Maw Khar,SWTO-91
0248/2014,"Myanmar Golden High Land Mining Co., Ltd","Myanmar Golden High Land Mining Co., Ltd",Small scale,Small,2014-09-17,2014-09-17,2016-09-16,2016-09-16,Gold,Gold,20,20,Kyauk pa sat,Kyauk pa sat,Taungni-1
0249/2014,"Myanmar Golden High Land Mining Co., Ltd","Myanmar Golden High Land Mining Co., Ltd",Small scale,Small,2014-09-17,2014-09-17,2016-09-16,2016-09-16,Gold,Gold,20,20,Kyauk pa sat,Kyauk pa sat,Taungni-2
0140/2015,"Kyaw Tet Aung 
Mining Co., Ltd","Kyaw Tet Aung Mining Co., Ltd",Small scale,Small,2015-07-01,2015-07-01,2016-06-30,2016-06-30,Gold,Gold,16,16,Win gyi,Win gyi,SWTO-88
0121/2015,"Asia Golden Light 
Mining Co., Ltd","Asia Golden Light Mining Co., Ltd",Small scale,Small,2015-06-10,2015-06-10,2016-06-09,2016-06-09,Gold,Gold,20,20,Chaung Phaur,Chaung Phaur,SWTO-86
0122/2015,"Asia Golden Light 
Mining Co., Ltd","Asia Golden Light Mining Co., Ltd",Small scale,Small,2015-06-10,2015-06-10,2016-06-09,2016-06-09,Gold,Gold,20,20,Chaung Phaur,Chaung Phaur,SWTO-87
0005/2016,"Thit Sar Myint Myat 
Co., Ltd","Thit Sar Myint Myat Co., Ltd",Small scale,Small,2016-01-06,2016-01-06,2017-01-05,2017-01-05,Gold,Gold,20,20,Nant Kham,Nant Kham,SWTO-89
0288/2009,"Aye Aye Khaing 
Mining Co., Ltd.","Aye Aye Khaing Mining Co., Ltd.",Small scale,Small,2009-12-01,2009-12-01,2016-11-30,2016-11-30,Gold,Gold,20,20,Sone Taw,Sone Taw,SBM-128
0289/2009,"Aye Aye Khaing 
Mining Co., Ltd.","Aye Aye Khaing Mining Co., Ltd.",Small scale,Small,2009-12-01,2009-12-01,2016-11-30,2016-11-30,Gold,Gold,20,20,Sone Taw,Sone Taw,SBM-129
0459/2010,"Sky Word Co., Ltd","Sky Word Co., Ltd",Small scale,Small,2010-07-06,2010-07-06,2016-07-05,2016-07-05,Gold,Gold,20,20,Sone Taw,Sone Taw,SBM-164
0449/2010,"Swan Min Thet 
Mining Co., Ltd","Swan Min Thet Mining Co., Ltd",Small scale,Small,2010-07-06,2010-07-06,2016-07-05,2016-07-05,Gold,Gold,20,20,Sone Taw,Sone Taw,SBM-194
0455/2010,"Swan Yadanar Htay 
Mining Co., Ltd","Swan Yadanar Htay Mining Co., Ltd",Small scale,Small,2010-07-06,2010-07-06,2016-07-05,2016-07-05,Gold,Gold,20,20,Sone Taw,Sone Taw,SBM-200
0456/2010,"Swan Yadanar Htay 
Mining Co., Ltd","Swan Yadanar Htay Mining Co., Ltd",Small scale,Small,2010-07-06,2010-07-06,2016-07-05,2016-07-05,Gold,Gold,20,20,Sone Taw,Sone Taw,SBM-201
0027/2014,"Than Htite Shwe Sin 
Mining Co.,Ltd","Than Htite Shwe Sin Mining Co.,Ltd",Small scale,Small,2014-01-15,2014-01-15,2017-01-14,2017-01-14,Gold,Gold,20,20,Nar Nant Htunt,Nar Nant Htunt,SBM-317
0136/2013,"Aye Nyein DaNa Co., Ltd","Aye Nyein DaNa Co., Ltd",Small scale,Small,2013-07-12,2013-07-12,2016-07-11,2016-07-11,Gold,Gold,20,20,Man Kut,Man Kut,SBM-313
0137/2013,"Aye Nyein DaNa Co., Ltd","Aye Nyein DaNa Co., Ltd",Small scale,Small,2013-07-12,2013-07-12,2016-07-11,2016-07-11,Gold,Gold,20,20,Man Kut,Man Kut,SBM-314
