No.,Code / Ref,License Holder,Company_name_cl,"Type of 
License",Date of application,"Date of 
award",Award_date_cl,Expiry Date,Expiry_date_cl,Commodity,Commodity_cl,"Area 
(sq km)",Area_km2_cl,"Location State/ 
Region",Location_state_cl,License_location_cl,License_location_code_1_cl,"Coordinates of the
 license area"
1,Production 00014/2000,"Triple A Cement International Co., Ltd","Triple A Cement International Co., Ltd",,,7.4.2015,2015-04-07,6.4.2020,2020-04-06,Coal,Coal,70.23,70.23,Shan,Shan,Hsipaw,Sanlaung,
,Production 0010/2012,"Triple A Cement International Co., Ltd","Triple A Cement International Co., Ltd",,,20.7.2012,2012-07-20,19.7.2022,2022-07-19,Line Stone,Limestone,60,60,Manadalay,Mandalay,Kyaukse,Lin Noe Taung,
,Production 0042/2011,"Triple A Cement International Co., Ltd","Triple A Cement International Co., Ltd",,,5.9.2016,2016-09-05,4.9.2017,2017-09-04,Gypsum,Gypsum,35.8,35.8,Shan ,Shan,Hsipaw,Kwin Pyin,
,Production 0041/2012,"Triple A Cement International Co., Ltd","Triple A Cement International Co., Ltd",,,5.9.2012,2012-09-05,4.9.2016,2016-09-04,Bauxide,Bauxite,35.8,35.8,Manadalay,Mandalay,Kyaukse,Boe Tawgyi,
2,Production 0002/2004,"UE Export Import Co., Ltd","UE Export Import Co., Ltd",,,27.1.2016,2016-01-27,26.1.2017,2017-01-26,Coal,Coal,49.5,49.5,Shan,Shan,Hsipaw,Ma Khaw,
,Production 0006/2008,"UE Export Import Co., Ltd","UE Export Import Co., Ltd",,,10.11.2008,2008-11-10,9.11.2018,2018-11-09,Lime Stone,Limestone,32,32,Mandalay,Mandalay,Kyaukse,Taung Ni Ma Taung,
,Production 0002/2011,"UE Export Import Co., Ltd","UE Export Import Co., Ltd",,,31.3.2014,2014-03-31,30.3.2019,2019-03-30,Coal,Coal,1831,1831,Shan,Shan,Laishao,Sin Taung,
3,Production 0006/2004,"Tun Thwin Mining Co., Ltd","Tun Thwin Mining Co., Ltd",,,9.7.2004,2004-07-09,8.7.2019,2019-07-08,Coal,Coal,4500,4500,Sagaing,Sagaing,Kalewa,Pluzawa,
4,Production 0001/2007,"Thi  Ha  Thant  Hein   Mining  Co.,  Ltd.","Thi Ha Thant Hein Mining Co., Ltd.",,,28.12.2007,2007-12-28,27.12.2017,2017-12-27,Coal,Coal,2324.38,2324.38,Sagaing,Sagaing,Mawleik,Mawleik Gyi and Nan Khan Pae Chaung,
5,Production 0005/2008,YCDC,YCDC,,,10.10.2008,2008-10-10,9.11.2018,2018-11-09,Coal,Coal,4105,4105,Sagaing,Sagaing,Mawleik,Dae Thawe Kyauk,
6,Production 0004/2008,"Myanmar CNICO Co., Ltd.","Myanmar CNICO Co., Ltd.",,,28.7.2008,2008-07-28,27.8.2028,2028-08-27,Ferro Nickel,Ferronickel,5082.37,5082.37,Mandalay,Mandalay,Htee Kyaunt,Tagaung Taung,
