Application_date_cl,Area_acre_cl,Area_km2_cl,Award_date_cl,Code/Ref,Commodity_cl,Company_Name_cl,Department,Expiry_date_cl,License_type_cl,Year,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,License_location_code_2_cl
,, 38.74 ,2009-12-21,0005/2009,Iron,"Htoo International Co.,Ltd",,2019-12-20,First-come-first-serve,2016-17,,Kachin,Waing Maw,Kantawyan,
,, 0.20 ,2015-08-05,0021/2015,Marble,Chain Yein Taung Mining ,,2025-08-04,First-come-first-serve,2016-17,,Kachin,Chipwi,lanyan,
,, 0.80 ,2015-09-02,0023/2015,Marble,Chain Yein Taung Mining ,,2025-09-01,First-come-first-serve,2016-17,,Kachin,SawLaw,ManBywal,
,, 0.80 ,2015-08-20,0028/2015,Iron,San Linn International,,2030-08-19,First-come-first-serve,2016-17,,Kachin,Chipwi,Hpimaw,
,, 28.43 ,2014-02-28,1/2012,Tin and Tungsten Associated,Kayar State Mineral Production Limited,,2019-02-27,First-come-first-serve,2016-17,,Kayah,Phar Saung,Maw Chee,
,, 16.03 ,2011-12-12,12/2001,Antimony,"Tha Byu Mining Co.,Ltd",,2016-12-11,First-come-first-serve,2016-17,,Kayin,KyarInn Sate Gyi,Tapyut,
,, 0.17 ,2011-12-12,0002/2010,Antimony,"Sliver Lion Mining Co.,Ltd",,2016-12-11,First-come-first-serve,2016-17,,Kayin,Pha-An,Kyat Tite Kwin,
,, 6.47 ,2011-03-30,0041/2011,Limestone,"United Cement Co.,Ltd",,2021-03-29,First-come-first-serve,2016-17,,Kayin,Pha-An,Mikayin Taung,
,, 1.02 ,2015-05-27,0011/2015,Limestone,Myanmar Economic Corporation,,2026-07-29,First-come-first-serve,2016-17,,Kayin,Pha-An,ThanDine Taung,
,, 0.16 ,2015-06-03,0013/2015,Clay,Myanmar Economic Corporation,,2026-07-29,First-come-first-serve,2016-17,,Kayin,Pha-An,ThanDine Taung,
,, 0.35 ,2015-06-03,0014/2015,Clay,Myanmar Economic Corporation,,2026-07-29,First-come-first-serve,2016-17,,Kayin,Pha-An,ThanDine Taung,
,, 22.76 ,2011-01-03,0001/2011,Copper,Myanmar Economic Holding Limited,,2034-03-04,First-come-first-serve,2016-17,,Sagaing,SarLinngyi,KyalSin Taung,
,, 24.30 ,2011-02-04,0010/2011,Coal,"Htoo International Co.,Ltd",,2019-07-08,First-come-first-serve,2016-17,,Sagaing,Kalay Wa,La Bin Chaung,
,, 18.21 ,2014-07-09,6/2004,Coal,"Htun Thwin Mining Co.,Ltd",,2019-07-08,First-come-first-serve,2016-17,,Sagaing,Kalay Wa,PaLuZawa Chung,
,, 9.41 ,2017-12-27,1/2007,Coal,ThiHa Thant Hein Mining,,2032-12-26,First-come-first-serve,2016-17,,Sagaing,Mawlite,MawLiteGyi,
,, 16.61 ,2008-11-10,0005/2008,Coal,YCDC,,2019-06-30,First-come-first-serve,2016-17,,Sagaing,Mawlite,Dartawe Kyaut Chaung,
,, 28.17 ,2013-03-05,0003/2010,Copper,Myanmar Economic Holding Limited,,2048-03-04,First-come-first-serve,2016-17,,Sagaing,SarLinngyi,Latpan Tauing,
,, 20.59 ,2008-07-28,0004/2008,Nickel,Myanmar CNMC Nickel Co; LTD,,2019-06-30,First-come-first-serve,2016-17,,Mandalay,TapatKying,,
,, 13.44 ,2010-10-29,0015/2010,Coal,"Dagon Mining Co.,Ltd",,2017-02-27,First-come-first-serve,2016-17,,Sagaing,Mawlite,Dartawe Kyaut Chaung,
,, 13.67 ,2011-01-18,0005/2011,Coal,"Shwe Taung Mining Co.,Ltd",,2019-08-11,First-come-first-serve,2016-17,,Sagaing,Kalay Wa,PaLuZawa Chung,
,, 26.60 ,2011-01-18,0007/2011,Coal,"Group Of Four Co.,Ltd",,2027-02-27,First-come-first-serve,2016-17,,Sagaing,Mawlite,Dartawe Kyaut Chaung,
,, 21.24 ,2011-01-21,0008/2011,Coal,"Max Myanmar Co.,Ltd",,2036-09-15,First-come-first-serve,2016-17,,Sagaing,Kalay Wa,Thit Kyout,
,, 22.66 ,2011-02-04,0011/2011,Coal,YIG,,2036-09-15,First-come-first-serve,2016-17,,Sagaing,Mawlite,Dartawe Kyaut Chaung,
,, 3.80 ,2015-01-21,0022/2011,Coal,"Dagon Mining Co.,Ltd",,2019-08-23,First-come-first-serve,2016-17,,Sagaing,Mawlite,MawKu,
,, 12.67 ,2010-03-08,0031/2011,Coal,"Mandalay Distribution & Mining  Co.,Ltd",,2021-01-17,First-come-first-serve,2016-17,,Sagaing,Mawlite,Nanpanmon Chaung,
,, 2.43 ,2011-03-30,0042/2011,Limestone,"Asia Phyo Mining Co.,Ltd",,2016-01-17,First-come-first-serve,2016-17,,Sagaing,KantBalu,Zin Taung,
,, 31.72 ,2017-08-01,0086/2007,Gold,"Eternal Mining Co.,Ltd",,2016-02-18,First-come-first-serve,2016-17,,Sagaing,Kaw Linn,Kyaut Pa Htoe,
,, 0.59 ,2014-11-26,0009/2014,Coal,"Htun Toug Sa Co.,Ltd",,2016-02-18,First-come-first-serve,2016-17,,Sagaing,TaMue,Kyaut Pyin Chaung,
,, 0.78 ,2014-12-17,0012/2014,Coal,Mandalay Shwe Friend Mining,,2016-02-18,First-come-first-serve,2016-17,,Sagaing,Kalay Wa,PaLuZawa,
,, 1.68 ,2014-12-17,0015/2014,Coal,"Kan Pwin Oo Mining Co.,Ltd",,2016-02-18,First-come-first-serve,2016-17,,Sagaing,Kalay Wa,PaLuZawa,
,, 4.04 ,2014-12-17,0011/2014,Coal,"Htut Kaung Kyaw Mining Co.,Ltd",,2016-02-18,First-come-first-serve,2016-17,,Sagaing,Mawlite,Kwinpin,
,, 0.39 ,2014-12-24,0013/2014,Coal,"Htoo Han Thit Mining Co.,Ltd",,2016-02-18,First-come-first-serve,2016-17,,Sagaing,Kalay Wa,Kyatpfatnat Chaung,
,, 0.40 ,2015-04-01,0008/2015,Coal,"Sein Lae Wai Co.,Ltd",,2016-05-13,First-come-first-serve,2016-17,,Sagaing,Kalay Wa,Manpharlay,
,, 0.40 ,2015-03-25,0006/2015,Coal,"Htoo Han Thit Mining Co.,Ltd",,2016-05-13,First-come-first-serve,2016-17,,Sagaing,Kalay,Moemaka,
,, 20.90 ,2015-07-22,0018/2015,Coal,Myanmar Economic Holding Limited,,2017-03-23,First-come-first-serve,2016-17,,Sagaing,Kalay,KyautOn Chaung,
,, 8.52 ,2014-07-01,5/1999,Tin and Tungsten ,"Myanmar Pongpipat Co.,Ltd",,2019-06-30,First-come-first-serve,2016-17,,Tanintharyi,Kalay,Henda,
,, 1.19 ,2014-07-01,27/1999,Tin and Tungsten ,"Myanmar Tin & Tungsten Co.,Ltd",,2019-06-30,First-come-first-serve,2016-17,,Tanintharyi,Taninthayi,Henda,
,, 7.77 ,2014-07-01,40/2000,Tin and Tungsten ,"Ngwe Kabar Myanmar Co.,Ltd",,2019-06-30,First-come-first-serve,2016-17,,Tanintharyi,PuLaw,Henda,
,, 6.69 ,2012-02-28,2/2002,Tin and Tungsten ,ANA,,2017-02-27,First-come-first-serve,2016-17,,Tanintharyi,Yaephyu,Kalonehtar,
,, 11.82 ,2014-08-12,8/2004,Tin and Tungsten ,"Ngwe Htun Taug Co.,Ltd",,2019-08-11,First-come-first-serve,2016-17,,Tanintharyi,Dawei,HarMyingyi,
,, 8.45 ,2010-01-05,0001/2010,Tin and Tungsten ,DALCO ,,2020-12-28,First-come-first-serve,2016-17,,Tanintharyi,Yaephyu,Kanpouk,
,, 2.80 ,2012-04-25,0008/2012,Tin and Tungsten ,"Sein Ngar Man Mining Co.,Ltd",,2018-05-26,First-come-first-serve,2016-17,,Tanintharyi,Taninthayi,laytarTaung,
,, 3.29 ,2013-05-09,0004/2013,Tin and Tungsten ,"Ngwe Kabar Myanmar Co.,Ltd",,2017-07-07,First-come-first-serve,2016-17,,Tanintharyi,KyunSu,Kwal kayan,
,, 1.63 ,2015-01-12,0002/2015,Tin and Tungsten ,"Mining World Co.,Ltd",,2017-07-20,First-come-first-serve,2016-17,,Tanintharyi,Dawei,Pakarye,
,, 11.66 ,2013-09-16,0008/2013,Limestone,24 Hours Mining ,,2019-08-06,First-come-first-serve,2016-17,,Tanintharyi,Taninthayi,Thein Kwin,
,, 0.79 ,2012-02-28,6/2002,Glass Sand,"No.(2)Heavy Industry, Ministry of Industry",,2027-02-27,First-come-first-serve,2016-17,,Tanintharyi,Botepyine,Alawlman Kwint,
,, 2.02 ,2010-03-26,0005/2010,Coal,May Flower Mining Interprise Limited,,2017-03-23,First-come-first-serve,2016-17,,Tanintharyi,Dawei,Ban Chaung (1),
,, 2.02 ,2010-03-26,0006/2010,Coal,May Flower Mining Interprise Limited,,2017-03-23,First-come-first-serve,2016-17,,Tanintharyi,Dawei,Ban Chaung (2),
,, 2.02 ,2010-03-26,0007/2010,Coal,May Flower Mining Interprise Limited,,2017-03-23,First-come-first-serve,2016-17,,Tanintharyi,Dawei,Ban Chaung (3),
,, 6.69 ,2012-02-01,0001/2012,Coal,Than Phyo Thu Mining Limited,,2017-03-23,First-come-first-serve,2016-17,,Tanintharyi,Botepyine,Laynyar,
,, 0.81 ,2012-05-30,0005/2012,Coal,May Flower Mining Interprise Limited,,2017-03-23,First-come-first-serve,2016-17,,Tanintharyi,Dawei,Ban Chaung (4),
,, 0.81 ,2012-05-30,0006/2012,Coal,May Flower Mining Interprise Limited,,2017-03-23,First-come-first-serve,2016-17,,Tanintharyi,Dawei,Ban Chaung (5),
,, 0.81 ,2012-05-30,0007/2012,Coal,May Flower Mining Interprise Limited,,2016-11-04,First-come-first-serve,2016-17,,Tanintharyi,Dawei,Ban Chaung (6),
,, 2.10 ,2015-05-27,0010/2015,Coal,Myanmar Economic Corporation,,2019-10-19,First-come-first-serve,2016-17,,Tanintharyi,Taninthayi,Thein Kwin,
,, 2.31 ,2015-12-28,0001/2016,Tin and Tungsten ,"Shwe Pinlae Co., Ltd",,2019-09-18,First-come-first-serve,2016-17,,Tanintharyi,KyunSu,Kyalkayan,
,, 0.93 ,2009-08-18,0001/2009,Limestone,"Max Myanmar Co.,Ltd",,2019-10-02,First-come-first-serve,2016-17,,Nay Pyi Taw,Lewe,Taungfelar,
,, 0.61 ,2011-08-31,0048/2011,Limestone,Nay Pyi Taw ,,2035-08-30,First-come-first-serve,2016-17,,Nay Pyi Taw,Lewe,Taungfelar,
,, 0.20 ,2015-03-18,005/2015,Limestone,"Max Myanmar Co.,Ltd",,2025-03-17,First-come-first-serve,2016-17,,Nay Pyi Taw,Lewe,Taungfelar,
,, 4.18 ,1999-06-15,18/1999,Limestone,"No.(2)Heavy Industry, Ministry of Industry",,2019-06-14,First-come-first-serve,2016-17,,Magway,Thayat,Patarlane,
,, 0.18 ,2014-11-12,0006/2014,Coal,"Pothar Mining Co.,Ltd",,2024-11-11,First-come-first-serve,2016-17,,Magway,MinHla,Kantoe,
,, 0.60 ,2015-08-12,0022/2015,Coal,"Myint Myat Chan Aye Production Co.,Ltd",,2015-08-11,First-come-first-serve,2016-17,,Magway,MinHla,TanpuyarKying,
,, 0.55 ,1998-07-02,0014/1998,Marble,No.(3) Heavy Industry. Ministry Of Industry,,2018-07-01,First-come-first-serve,2016-17,,Mandalay,Madaya,Kanma Taung,
,, 0.20 ,1998-07-02,"0015/1998
",Marble,No.(3) Heavy Industry. Ministry Of Industry,,2018-07-01,First-come-first-serve,2016-17,,Mandalay,Madaya,Wetletaw Taung,
,, 0.24 ,1998-07-02,"0016/1998
",Marble,No.(3) Heavy Industry. Ministry Of Industry,,2018-07-01,First-come-first-serve,2016-17,,Mandalay,Kyaukse,Taungbo Taung,
,, 1.00 ,2000-04-26,"0015/2000
",Limestone,No.(3) Heavy Industry. Ministry Of Industry,,2020-04-25,First-come-first-serve,2016-17,,Mandalay,Kyaukse,Than Taw Myat,
,, 0.20 ,2000-11-30,"0043/2000
",Feldspar,No.(3) Heavy Industry. Ministry Of Industry,,2020-11-29,First-come-first-serve,2016-17,,Mandalay,Myitha,pyatkayawe,
,, 0.89 ,2002-04-29,0004/2002,Marble,"U Taw Taw & Sons Co.,Ltd",,2017-04-28,First-come-first-serve,2016-17,,Mandalay,Madaya,Thabawl Taung,
,, 0.77 ,2004-01-02,0001/2014,Bauxite,No.(3) Heavy Industry. Ministry Of Industry,,2029-01-01,First-come-first-serve,2016-17,,Mandalay,PyinOoLwin,Nat Taung,
,, 0.20 ,2005-01-05,"0001/2015
",Feldspar,No.(3) Heavy Industry. Ministry Of Industry,,2030-01-04,First-come-first-serve,2016-17,,Mandalay,ThaZi,HlaingTat,
