,comment,company_name,final_difference,name_of_revenue_stream,paid_to,payment_category,per_company_adjust,per_company_final,per_company_original,per_government_adjust,per_government_final,per_government_original,units
1511,,Petronas Carigali Hong Kong Ltd (PCML),0,State production entitelment,,payments in kind,0,0,0,0,0,0,in barils
1512,,Petronas Carigali Hong Kong Ltd (PCML),0,MOGE production entitelment,,payments in kind,0,0,0,0,0,0,in barils
1513,,Petronas Carigali Hong Kong Ltd (PCML),0,Royalties,,payments in kind,0,0,0,0,0,0,in barils
1514,,Petronas Carigali Hong Kong Ltd (PCML),0,Baseline payment (IPR/PCC),,payments in kind,0,0,0,0,0,0,in barils
1515,,Petronas Carigali Hong Kong Ltd (PCML),0,Risk compensation (IPR/PCC),,payments in kind,0,0,0,0,0,0,in barils
1516,,Petronas Carigali Hong Kong Ltd (PCML),0,Payment out of production (-),,payments in kind,0,0,0,0,0,0,in barils
1517,,Petronas Carigali Hong Kong Ltd (PCML),0,Domestic Market Obligation (DMO) (-),,payments in kind,0,0,0,0,0,0,in barils
1518,,Petronas Carigali Hong Kong Ltd (PCML),0,State production entitelment,,payments in kind,0,0,0,0,0,0,in mscf
1519,,Petronas Carigali Hong Kong Ltd (PCML),0,MOGE production entitelment,,payments in kind,0,0,0,0,0,0,in mscf
1520,,Petronas Carigali Hong Kong Ltd (PCML),0,Royalties,,payments in kind,0,0,0,0,0,0,in mscf
1521,,Petronas Carigali Hong Kong Ltd (PCML),0,Baseline payment (IPR/PCC),,payments in kind,0,0,0,0,0,0,in mscf
1522,,Petronas Carigali Hong Kong Ltd (PCML),0,Risk compensation (IPR/PCC),,payments in kind,0,0,0,0,0,0,in mscf
1523,,Petronas Carigali Hong Kong Ltd (PCML),0,Payment out of production (-),,payments in kind,0,0,0,0,0,0,in mscf
1524,,Petronas Carigali Hong Kong Ltd (PCML),0,Domestic Market Obligation (DMO) (-),,payments in kind,0,0,0,0,0,0,in mscf
1525,Tax not reported by the Govt Body,Petronas Carigali Hong Kong Ltd (PCML),54612469.62,Corporate Income Tax (CIT),MoPF-IRD-Customs Department,payments in cash,-45246415996,6127273409,51373689405,-3699698052,6072660939,9772358991,MMK
