,comment,company_name,final_difference,name_of_revenue_stream,paid_to,payment_category,per_company_adjust,per_company_final,per_company_original,per_government_adjust,per_government_final,per_government_original,units
2911,,Andaman Transportation Limited (ATL),0,State production entitelment,,payments in kind,0,0,0,0,0,0,in barils
2912,,Andaman Transportation Limited (ATL),0,MOGE production entitelment,,payments in kind,0,0,0,0,0,0,in barils
2913,,Andaman Transportation Limited (ATL),0,Royalties,,payments in kind,0,0,0,0,0,0,in barils
2914,,Andaman Transportation Limited (ATL),0,Baseline payment (IPR/PCC),,payments in kind,0,0,0,0,0,0,in barils
2915,,Andaman Transportation Limited (ATL),0,Risk compensation (IPR/PCC),,payments in kind,0,0,0,0,0,0,in barils
2916,,Andaman Transportation Limited (ATL),0,Payment out of production (-),,payments in kind,0,0,0,0,0,0,in barils
2917,,Andaman Transportation Limited (ATL),0,Domestic Market Obligation (DMO) (-),,payments in kind,0,0,0,0,0,0,in barils
2918,,Andaman Transportation Limited (ATL),0,State production entitelment,,payments in kind,0,0,0,0,0,0,in mscf
2919,,Andaman Transportation Limited (ATL),0,MOGE production entitelment,,payments in kind,0,0,0,0,0,0,in mscf
2920,,Andaman Transportation Limited (ATL),0,Royalties,,payments in kind,0,0,0,0,0,0,in mscf
2921,,Andaman Transportation Limited (ATL),0,Baseline payment (IPR/PCC),,payments in kind,0,0,0,0,0,0,in mscf
2922,,Andaman Transportation Limited (ATL),0,Risk compensation (IPR/PCC),,payments in kind,0,0,0,0,0,0,in mscf
2923,,Andaman Transportation Limited (ATL),0,Payment out of production (-),,payments in kind,0,0,0,0,0,0,in mscf
2924,,Andaman Transportation Limited (ATL),0,Domestic Market Obligation (DMO) (-),,payments in kind,0,0,0,0,0,0,in mscf
2925,,Andaman Transportation Limited (ATL),0,Corporate Income Tax (CIT),MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
2926,,Andaman Transportation Limited (ATL),0,Commercial Tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
2927,,Andaman Transportation Limited (ATL),0,Stamp Duties,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
2928,,Andaman Transportation Limited (ATL),0,Capital Gains Tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
2929,Tax not reported by the Govt Body,Andaman Transportation Limited (ATL),7648641212,Withholding tax,MoPF-IRD-Customs Department,payments in cash,0,7648641212,7648641212,0,0,0,MMK
2930,,Andaman Transportation Limited (ATL),0,Commercial Tax on Imports ,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
2931,,Andaman Transportation Limited (ATL),0,Customs Duties on imports ,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
2932,,Andaman Transportation Limited (ATL),0,"Other significant payments (> 50,000 USD)",MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
2933,,Andaman Transportation Limited (ATL),0,Signature Bonus,MOGE,payments in cash,0,0,0,0,0,0,MMK
2934,,Andaman Transportation Limited (ATL),0,Royalties,MOGE,payments in cash,0,0,0,0,0,0,MMK
2935,,Andaman Transportation Limited (ATL),0,Production Split (State share- Gas&Oil sales),MOGE,payments in cash,0,0,0,0,0,0,MMK
2936,,Andaman Transportation Limited (ATL),0,Production Bonus,MOGE,payments in cash,0,0,0,0,0,0,MMK
2937,,Andaman Transportation Limited (ATL),0,MOGE share (Profit and Cost- G&O sales),MOGE,payments in cash,0,0,0,0,0,0,MMK
2938,,Andaman Transportation Limited (ATL),0,Dividend,MOGE,payments in cash,0,0,0,0,0,0,MMK
2939,,Andaman Transportation Limited (ATL),0,Training Fund,MOGE,payments in cash,0,0,0,0,0,0,MMK
2940,,Andaman Transportation Limited (ATL),0,Research and Development Fund,MOGE,payments in cash,0,0,0,0,0,0,MMK
2941,,Andaman Transportation Limited (ATL),0,Domestic Market Obligation (DMO) (-),MOGE,payments in cash,0,0,0,0,0,0,MMK
2942,,Andaman Transportation Limited (ATL),0,Data fee,MOGE,payments in cash,0,0,0,0,0,0,MMK
