,company_name,name_of_revenue_stream,paid_to,payment_category,units,per_company_original,per_company_adjust,per_company_final,per_government_original,per_government_adjust,per_government_final,final_difference,comment
0,Myanmar CNMC Nickel Co; LTD (*),Production Split (Government and SOEs share),,payments in kind,gold in t.oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Myanmar CNMC Nickel Co; LTD (*),Royalties,,payments in kind,gold in t.oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,Myanmar CNMC Nickel Co; LTD (*),Corporate Income Tax (CIT),MoF-IRD-Customs Department,payments in cash,MMK,0.0,0.0,0.0,7653645625.0,0.0,7653645625.0,-7653645625.0,Tax not reported by the extractive company
3,Myanmar CNMC Nickel Co; LTD (*),Commercial Tax,MoF-IRD-Customs Department,payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,Myanmar CNMC Nickel Co; LTD (*),Commercial Tax on Imports,MoF-IRD-Customs Department,payments in cash,MMK,326902321.0,0.0,326902321.0,122450800.0,0.0,122450800.0,204451521.0,Missing extractive company detail per receipt number
5,Myanmar CNMC Nickel Co; LTD (*),Customs Duties,MoF-IRD-Customs Department,payments in cash,MMK,50330036.42,0.0,50330036.42,67976042.22999999,0.0,67976042.22999999,-17646005.809999987,Tax not reported by the extractive company
6,Myanmar CNMC Nickel Co; LTD (*),Stamp Duties,MoF-IRD-Customs Department,payments in cash,MMK,235300.0,0.0,235300.0,0.0,0.0,0.0,235300.0,Not material difference
7,Myanmar CNMC Nickel Co; LTD (*),Capital Gains Tax,MoF-IRD-Customs Department,payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,Myanmar CNMC Nickel Co; LTD (*),Withholding Tax,MoF-IRD-Customs Department,payments in cash,MMK,374422546.49,0.0,374422546.49,0.0,0.0,0.0,374422546.49,Tax not reported by the Govt Body
9,Myanmar CNMC Nickel Co; LTD (*),"Other significant payments (> 50,000 USD)",MoF-IRD-Customs Department,payments in cash,MMK,199241244.4,-199241244.4,0.0,0.0,0.0,0.0,0.0,
10,Myanmar CNMC Nickel Co; LTD (*),Royalties,MoM (ME 1-ME 2-ME 3),payments in cash,MMK,17502030899.47785,0.0,17502030899.47785,16960573203.87,0.0,16960573203.87,541457695.607851,Tax not reported by the Govt Body
11,Myanmar CNMC Nickel Co; LTD (*),Signature Bonus,MoM (ME 1-ME 2-ME 3),payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,Myanmar CNMC Nickel Co; LTD (*),Production Split,MoM (ME 1-ME 2-ME 3),payments in cash,MMK,22018960044.595856,2099895717.74414,24118855762.339996,24118855762.34,0.0,24118855762.34,0.0,
13,Myanmar CNMC Nickel Co; LTD (*),Dead Rent Fees,MoM (ME 1-ME 2-ME 3),payments in cash,MMK,45170012.95,0.0,45170012.95,150274629.3,0.0,150274629.3,-105104616.35000001,Tax not reported by the extractive company
14,Myanmar CNMC Nickel Co; LTD (*),Licence Fees,MoM (ME 1-ME 2-ME 3),payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,Myanmar CNMC Nickel Co; LTD (*),Dividends,MoM (ME 1-ME 2-ME 3),payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,Myanmar CNMC Nickel Co; LTD (*),Land rental fees,MoM (ME 1-ME 2-ME 3),payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,Myanmar CNMC Nickel Co; LTD (*),Environmental / Plantation fees,MoM (ME 1-ME 2-ME 3),payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18,Myanmar CNMC Nickel Co; LTD (*),"Other significant payments (> 50,000 USD)",MoM (ME 1-ME 2-ME 3),payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,Myanmar CNMC Nickel Co; LTD (*),Contribution to the State/region social development fund,States/regions,payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,Myanmar CNMC Nickel Co; LTD (*),Mandatory Corporate Social Responsibility,Social payments,payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,Myanmar CNMC Nickel Co; LTD (*),Voluntary Corporate Social Responsibility,Social payments,payments in cash,MMK,383444772.0,0.0,383444772.0,0.0,0.0,0.0,0.0,
22,Myanma Economic Corporation,Production Split (Government and SOEs share),,payments in kind,tin in mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23,Myanma Economic Corporation,Royalties,,payments in kind,tin in mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24,Myanma Economic Corporation,Corporate Income Tax (CIT),MoF-IRD-Customs Department,payments in cash,MMK,0.0,0.0,0.0,12567774767.0,-12567774767.0,0.0,0.0,
25,Myanma Economic Corporation,Commercial Tax,MoF-IRD-Customs Department,payments in cash,MMK,0.0,0.0,0.0,5254801561.0,-5254801561.0,0.0,0.0,
26,Myanma Economic Corporation,Commercial Tax on Imports,MoF-IRD-Customs Department,payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,Myanma Economic Corporation,Customs Duties,MoF-IRD-Customs Department,payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
28,Myanma Economic Corporation,Stamp Duties,MoF-IRD-Customs Department,payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29,Myanma Economic Corporation,Capital Gains Tax,MoF-IRD-Customs Department,payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,Myanma Economic Corporation,Withholding Tax,MoF-IRD-Customs Department,payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31,Myanma Economic Corporation,"Other significant payments (> 50,000 USD)",MoF-IRD-Customs Department,payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
