,company_name,name_of_revenue_stream,paid_to,payment_category,units,per_company_original,per_company_adjust,per_company_final,per_government_original,per_government_adjust,per_government_final,final_difference,comment
0,Great Genesis Gems Co; Ltd. (*),Production Split (Government and SOEs share),"Ministry of Natural Resources and Environmental Conservation (MONREC)
Department of Mines
MGE",payments in kind,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Great Genesis Gems Co; Ltd. (*),Royalties on production - 20% collected by/paid to  MGE,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,81968380.0,0.0,81968380.0,0.0,81968380.0,81968380.0,0.0,
2,Great Genesis Gems Co; Ltd. (*),Royalties on production- 20% collected by/paid to  DOM,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,81968380.0,-81968380.0,0.0,0.0,
3,Great Genesis Gems Co; Ltd. (*),Sale Split - 40% 25%,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,6351487152.3,0.0,6351487152.3,6350712339.3,0.0,6350712339.3,774813.0,Not material difference < 5 Million Kyats
4,Great Genesis Gems Co; Ltd. (*),Royalties on Sales- 7%,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,1984740433.42,0.0,1984740433.42,1984740433.42,0.0,1984740433.42,0.0,
5,Great Genesis Gems Co; Ltd. (*),"Service  Fees - 3%, 1%","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,850602656.4200001,0.0,850602656.4200001,850602656.4200001,0.0,850602656.4200001,0.0,
6,Great Genesis Gems Co; Ltd. (*),Permit fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,Great Genesis Gems Co; Ltd. (*),"Incentive fees 1%, 2%","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,255180661.66000003,0.0,255180661.66000003,255180661.66000003,0.0,255180661.66000003,0.0,
8,Great Genesis Gems Co; Ltd. (*),"Commercial Tax - 15%, 5% collected by (paid to) MGE","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,4311689458.64,0.0,4311689458.64,4336008301.779772,0.0,4336008301.779772,-24318843.13977146,Tax not reported by the extractive company
9,Great Genesis Gems Co; Ltd. (*),Land rental fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
