,company_name,name_of_revenue_stream,paid_to,payment_category,units,per_company_original,per_company_adjust,per_company_final,per_government_original,per_government_adjust,per_government_final,final_difference,comment
0,Petronas Carigali Hong Kong Ltd (PCML),State production entitelment,,payments in kind,in barils,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Petronas Carigali Hong Kong Ltd (PCML),MOGE production entitelment,,payments in kind,in barils,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,Petronas Carigali Hong Kong Ltd (PCML),Royalties,,payments in kind,in barils,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,Petronas Carigali Hong Kong Ltd (PCML),Baseline payment (IPR/PCC),,payments in kind,in barils,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,Petronas Carigali Hong Kong Ltd (PCML),Risk compensation (IPR/PCC),,payments in kind,in barils,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,Petronas Carigali Hong Kong Ltd (PCML),Payment out of production (-),,payments in kind,in barils,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,Petronas Carigali Hong Kong Ltd (PCML),Domestic Market Obligation (DMO) (-),,payments in kind,in barils,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,Petronas Carigali Hong Kong Ltd (PCML),State production entitelment,,payments in kind,in mscf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,Petronas Carigali Hong Kong Ltd (PCML),MOGE production entitelment,,payments in kind,in mscf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,Petronas Carigali Hong Kong Ltd (PCML),Royalties,,payments in kind,in mscf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,Petronas Carigali Hong Kong Ltd (PCML),Baseline payment (IPR/PCC),,payments in kind,in mscf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,Petronas Carigali Hong Kong Ltd (PCML),Risk compensation (IPR/PCC),,payments in kind,in mscf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,Petronas Carigali Hong Kong Ltd (PCML),Payment out of production (-),,payments in kind,in mscf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13,Petronas Carigali Hong Kong Ltd (PCML),Domestic Market Obligation (DMO) (-),,payments in kind,in mscf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,Petronas Carigali Hong Kong Ltd (PCML),Corporate Income Tax (CIT),MoPF-IRD-Customs Department,payments in cash,MMK,14605200326.139002,-14605200326.139002,0.0,2911417322.0,-2911417322.0,0.0,0.0,
