,company_name,company_registration_number,name_of_revenue_stream,paid_to,payment_category,units,per_company_original,per_company_adjust,per_company_final,per_government_original,per_government_adjust,per_government_final,final_difference,comment
0,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Royalties,State Owned Enterprises (MOGE),,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
1,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Custom Duties ,Customs Department (CD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
2,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Commercial Tax on Imported Capital Equipment,Customs Department (CD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
3,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Commercial Tax on Imports on Raw Materials and Inventories,Customs Department (CD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
4,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Corporate Income Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
5,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Personal Income Tax,Inertal Revenue Department (IRD) ,,MMK,102790144.0,0.0,102790144.0,0.0,0.0,0.0,102790144.0,C. Unreconciled due to tax not reported and supporting documents not provided by government agency ; nan
6,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Commercial Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
7,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Capital Gains Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
8,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Withholding tax - Resident ,Inertal Revenue Department (IRD) ,,MMK,764972.0,0.0,764972.0,0.0,0.0,0.0,764972.0, G. Immaterial Difference less than MMK 5 Million ; nan
9,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Withholding tax - Non-Resident,Inertal Revenue Department (IRD) ,,MMK,44216220.0,0.0,44216220.0,0.0,0.0,0.0,44216220.0,C. Unreconciled due to tax not reported and supporting documents not provided by government agency ; nan
10,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Stamp Duties,Inertal Revenue Department (IRD) ,,MMK,6230134.0,-900.0,6229234.0,0.0,0.0,0.0,6229234.0,C. Unreconciled due to tax not reported and supporting documents not provided by government agency ; nan
11,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Specific Goods Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
12,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Royalties,Myanma Oil and Gas Enterprise,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
13,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Signature Bonus,Myanma Oil and Gas Enterprise,,MMK,5028000000.0,0.0,5028000000.0,5027981145.0,0.0,5027981145.0,18855.0,nan; G. Immaterial Difference <MMK 5 Million
14,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Data Fee,Myanma Oil and Gas Enterprise,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
15,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,State Participation,Myanma Oil and Gas Enterprise,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
16,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Production Split (Profit Sharing),Myanma Oil and Gas Enterprise,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
17,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Production Bonus,Myanma Oil and Gas Enterprise,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
18,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Commerciality Bonus,Myanma Oil and Gas Enterprise,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
19,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Social Security Board Contribution,Ministry of Labour ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
20,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Contribution to the State/region social development fund,State/Regions (Subnational Government),,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
21,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Mandatory Corporate Social Responsibility,CSR Beneficiaries,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
22,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Voluntary Corporate Social Responsibility,CSR Beneficiaries,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
23,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Training Fund Usage,CSR Beneficiaries,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
24,Bashneft International B.V. (Myanmar Branch),396FC/2014-2015,Research and Development Fund (Usage),CSR Beneficiaries,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
25,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Royalties,State Owned Enterprises (MOGE),,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
26,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Custom Duties ,Customs Department (CD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
27,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Commercial Tax on Imported Capital Equipment,Customs Department (CD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
28,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Commercial Tax on Imports on Raw Materials and Inventories,Customs Department (CD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
29,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Corporate Income Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
30,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Personal Income Tax,Inertal Revenue Department (IRD) ,,MMK,77743502.23441115,0.0,77743502.23441115,0.0,0.0,0.0,77743502.23441115,C. Unreconciled due to tax not reported and supporting documents not provided by government agency ; nan
31,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Commercial Tax,Inertal Revenue Department (IRD) ,,MMK,4613756.76,-4613756.76,0.0,0.0,0.0,0.0,0.0,nan; nan
32,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Capital Gains Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
33,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Withholding tax - Resident ,Inertal Revenue Department (IRD) ,,MMK,5585242.85,0.0,5585242.85,0.0,0.0,0.0,5585242.85,C. Unreconciled due to tax not reported and supporting documents not provided by government agency ; nan
34,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Withholding tax - Non-Resident,Inertal Revenue Department (IRD) ,,MMK,248278152.88,0.0,248278152.88,0.0,0.0,0.0,248278152.88,C. Unreconciled due to tax not reported and supporting documents not provided by government agency ; nan
35,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Stamp Duties,Inertal Revenue Department (IRD) ,,MMK,2314700.58,0.0,2314700.58,0.0,0.0,0.0,2314700.58, G. Immaterial Difference less than MMK 5 Million ; nan
36,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Specific Goods Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
37,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Royalties,Myanma Oil and Gas Enterprise,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
38,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Signature Bonus,Myanma Oil and Gas Enterprise,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
39,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Data Fee,Myanma Oil and Gas Enterprise,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
40,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,State Participation,Myanma Oil and Gas Enterprise,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
41,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Production Split (Profit Sharing),Myanma Oil and Gas Enterprise,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
42,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Production Bonus,Myanma Oil and Gas Enterprise,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
43,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Commerciality Bonus,Myanma Oil and Gas Enterprise,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
44,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Social Security Board Contribution,Ministry of Labour ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
45,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Contribution to the State/region social development fund,State/Regions (Subnational Government),,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
46,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Mandatory Corporate Social Responsibility,CSR Beneficiaries,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
47,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Voluntary Corporate Social Responsibility,CSR Beneficiaries,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
48,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Training Fund Usage,CSR Beneficiaries,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
49,"Berlanga Myanmar Pte Ltd., (Myanmar Branch)",1249 FC 2014-2015,Research and Development Fund (Usage),CSR Beneficiaries,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
50,BG Exploration & Production Myanmar Pte. Ltd. (Myanmar Branch),107276645,Royalties,State Owned Enterprises (MOGE),,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan; nan
