,company_name,company_registration_number,name_of_revenue_stream,paid_to,payment_category,units,per_company_original,per_company_adjust,per_company_final,per_government_original,per_government_adjust,per_government_final,final_difference,comment
0,Cornerstone Resources (Myanmar) Ltd.,nan,Production Split (In Kind) ,"State Owned Enterprises (ME1, ME2)",,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
1,Cornerstone Resources (Myanmar) Ltd.,nan,Custom Duties ,Customs Department (CD) ,,MMK,42053230.9,0.0,42053230.9,25922886.640000004,16130344.26,42053230.900000006,0.0,nan
2,Cornerstone Resources (Myanmar) Ltd.,nan,"Commercial Tax on Imported Capital equipment, goods and services",Customs Department (CD) ,,MMK,101808059.965,0.0,101808059.965,44130788.68,57677271.285000004,101808059.965,0.0,nan
3,Cornerstone Resources (Myanmar) Ltd.,nan,Commercial Tax on Imports on Inventories,Customs Department (CD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
4,Cornerstone Resources (Myanmar) Ltd.,nan,Corporate Income Tax,Inertal Revenue Department (IRD) ,,MMK,40933911.0,0.0,40933911.0,40933911.0,0.0,40933911.0,0.0,nan
5,Cornerstone Resources (Myanmar) Ltd.,nan,Commercial Tax,Inertal Revenue Department (IRD) ,,MMK,191083021.0,101808060.94,292891081.94,292891082.0,0.0,292891082.0,-0.06000000238418579,nan
6,Cornerstone Resources (Myanmar) Ltd.,nan,Stamp Duties,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
7,Cornerstone Resources (Myanmar) Ltd.,nan,Capital Gains Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
8,Cornerstone Resources (Myanmar) Ltd.,nan,Withholding tax - Resident ,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
9,Cornerstone Resources (Myanmar) Ltd.,nan,Withholding tax - Non-Resident,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
10,Cornerstone Resources (Myanmar) Ltd.,nan,Specific Goods Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
11,Cornerstone Resources (Myanmar) Ltd.,nan,Personal Income Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
12,Cornerstone Resources (Myanmar) Ltd.,nan,Royalties,Department of Mines (DOM),,MMK,432777203.46000004,-88173449.34,344603754.12,344603754.12,0.0,344603754.12,0.0,nan
13,Cornerstone Resources (Myanmar) Ltd.,nan,Dead Rent Fees,Department of Mines (DOM),,MMK,0.0,48000000.0,48000000.0,48000000.0,0.0,48000000.0,0.0,nan
14,Cornerstone Resources (Myanmar) Ltd.,nan,License Fees,Department of Mines (DOM),,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
15,Cornerstone Resources (Myanmar) Ltd.,nan,Application Fees,Department of Geological Survey and Mineral Explorer,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
16,Cornerstone Resources (Myanmar) Ltd.,nan,Land Rental Fee,Forest Department ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
17,Cornerstone Resources (Myanmar) Ltd.,nan,Environmental/Plantation Fee,Forest Department ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
18,Cornerstone Resources (Myanmar) Ltd.,nan,Production Split,Mining Enterprise (1) ,,MMK,4197938910.969,-855282458.6,3342656452.369,3342656452.38,0.0,3342656452.38,-0.01100015640258789,nan
19,Cornerstone Resources (Myanmar) Ltd.,nan,Application Fees,Mining Enterprise (1) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
20,Cornerstone Resources (Myanmar) Ltd.,nan,Rental Fee,Mining Enterprise (1) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
21,Cornerstone Resources (Myanmar) Ltd.,nan,Sale (Mill Tailing),Mining Enterprise (1) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
22,Cornerstone Resources (Myanmar) Ltd.,nan,Others,Mining Enterprise (1) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
23,Cornerstone Resources (Myanmar) Ltd.,nan,Purchase of Minerals from ME-1,Mining Enterprise (1) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
24,Cornerstone Resources (Myanmar) Ltd.,nan,Application Fees,Mining Enterprise (2),,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
25,Cornerstone Resources (Myanmar) Ltd.,nan,Other Fees (Penalty/Rental machineries),Mining Enterprise (2),,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
26,Cornerstone Resources (Myanmar) Ltd.,nan,Social Security Board Contribution,Ministry of Labour ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
27,Cornerstone Resources (Myanmar) Ltd.,nan,Contribution to the State/region social development fund,State/Regions (Subnational Government),,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
28,Cornerstone Resources (Myanmar) Ltd.,nan,Mandatory Corporate Social Responsibility,CSR Beneficiaries,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
29,Cornerstone Resources (Myanmar) Ltd.,nan,Voluntary Corporate Social Responsibility,CSR Beneficiaries,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
30,"Daewoo Precious Resources Co., Ltd",nan,Production Split (In Kind) ,"State Owned Enterprises (ME1, ME2)",,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
31,"Daewoo Precious Resources Co., Ltd",nan,Custom Duties ,Customs Department (CD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
32,"Daewoo Precious Resources Co., Ltd",nan,"Commercial Tax on Imported Capital equipment, goods and services",Customs Department (CD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
33,"Daewoo Precious Resources Co., Ltd",nan,Commercial Tax on Imports on Inventories,Customs Department (CD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
34,"Daewoo Precious Resources Co., Ltd",nan,Corporate Income Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
35,"Daewoo Precious Resources Co., Ltd",nan,Commercial Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,21127315.0,0.0,21127315.0,-21127315.0,D. Unreconciled due to non-participation of the entity. 
36,"Daewoo Precious Resources Co., Ltd",nan,Stamp Duties,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
