,company_name,company_registration_number,name_of_revenue_stream,paid_to,payment_category,units,per_company_original,per_company_adjust,per_company_final,per_government_original,per_government_adjust,per_government_final,final_difference,comment
0,Annawar Pearl Company Limited,109604496,Production Split (In Kind) ,"State Owned Enterprises (ME1, ME2)",,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
1,Annawar Pearl Company Limited,109604496,Custom Duties ,Customs Department (CD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
2,Annawar Pearl Company Limited,109604496,Commercial Tax on Imported Capital Equipment,Customs Department (CD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
3,Annawar Pearl Company Limited,109604496,Commercial Tax on Imports on Raw Materials and Inventories,Customs Department (CD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
4,Annawar Pearl Company Limited,109604496,Corporate Income Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
5,Annawar Pearl Company Limited,109604496,Commercial Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
6,Annawar Pearl Company Limited,109604496,Stamp Duties,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
7,Annawar Pearl Company Limited,109604496,Capital Gains Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
8,Annawar Pearl Company Limited,109604496,Withholding tax - Resident ,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
9,Annawar Pearl Company Limited,109604496,Withholding tax - Non-Resident,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
10,Annawar Pearl Company Limited,109604496,Specific Goods Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
11,Annawar Pearl Company Limited,109604496,Personal Income Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
12,Annawar Pearl Company Limited,109604496,Royalties (Seeding Tax - for local companies only),Department of Mines (DOM),,MMK,0.0,17488000.0,17488000.0,17488000.0,0.0,17488000.0,0.0,nan
13,Annawar Pearl Company Limited,109604496,License Fee (One time fee),Myanmar Pearl Enterprise ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
14,Annawar Pearl Company Limited,109604496,Other Fees,Myanmar Pearl Enterprise ,,MMK,17488000.0,-17368000.0,120000.0,120000.0,0.0,120000.0,0.0,nan
15,Annawar Pearl Company Limited,109604496,Lease of buildings,Myanmar Pearl Enterprise ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
16,Annawar Pearl Company Limited,109604496,Penalty Fees,Myanmar Pearl Enterprise ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
17,Annawar Pearl Company Limited,109604496,Social Security Board Contribution,Ministry of Labour ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
18,Annawar Pearl Company Limited,109604496,Contribution to the State/region social development fund,State/Regions (Subnational Government),,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
19,Annawar Pearl Company Limited,109604496,Mandatory Corporate Social Responsibility,CSR Beneficiaries,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
20,Annawar Pearl Company Limited,109604496,Voluntary Corporate Social Responsibility,CSR Beneficiaries,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
21,"Aquagold Myanmar Co., Ltd",110185464,Production Split (In Kind) ,"State Owned Enterprises (ME1, ME2)",,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
22,"Aquagold Myanmar Co., Ltd",110185464,Custom Duties ,Customs Department (CD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
23,"Aquagold Myanmar Co., Ltd",110185464,Commercial Tax on Imported Capital Equipment,Customs Department (CD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
24,"Aquagold Myanmar Co., Ltd",110185464,Commercial Tax on Imports on Raw Materials and Inventories,Customs Department (CD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
25,"Aquagold Myanmar Co., Ltd",110185464,Corporate Income Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
26,"Aquagold Myanmar Co., Ltd",110185464,Commercial Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
27,"Aquagold Myanmar Co., Ltd",110185464,Stamp Duties,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
28,"Aquagold Myanmar Co., Ltd",110185464,Capital Gains Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
29,"Aquagold Myanmar Co., Ltd",110185464,Withholding tax - Resident ,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
30,"Aquagold Myanmar Co., Ltd",110185464,Withholding tax - Non-Resident,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
31,"Aquagold Myanmar Co., Ltd",110185464,Specific Goods Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
32,"Aquagold Myanmar Co., Ltd",110185464,Personal Income Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
33,"Aquagold Myanmar Co., Ltd",110185464,Royalties (Seeding Tax - for local companies only),Department of Mines (DOM),,MMK,20166000.0,0.0,20166000.0,20166000.0,0.0,20166000.0,0.0,nan
34,"Aquagold Myanmar Co., Ltd",110185464,License Fee (One time fee),Myanmar Pearl Enterprise ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
35,"Aquagold Myanmar Co., Ltd",110185464,Other Fees,Myanmar Pearl Enterprise ,,MMK,127000.0,0.0,127000.0,127000.0,0.0,127000.0,0.0,nan
36,"Aquagold Myanmar Co., Ltd",110185464,Lease of buildings,Myanmar Pearl Enterprise ,,MMK,14000000.0,0.0,14000000.0,14000000.0,0.0,14000000.0,0.0,nan
37,"Aquagold Myanmar Co., Ltd",110185464,Penalty Fees,Myanmar Pearl Enterprise ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
38,"Aquagold Myanmar Co., Ltd",110185464,Social Security Board Contribution,Ministry of Labour ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
39,"Aquagold Myanmar Co., Ltd",110185464,Contribution to the State/region social development fund,State/Regions (Subnational Government),,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
40,"Aquagold Myanmar Co., Ltd",110185464,Mandatory Corporate Social Responsibility,CSR Beneficiaries,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
41,"Aquagold Myanmar Co., Ltd",110185464,Voluntary Corporate Social Responsibility,CSR Beneficiaries,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
42,"Belpearl Myanmar Co., Ltd",105482817,Production Split (In Kind) ,"State Owned Enterprises (ME1, ME2)",,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
43,"Belpearl Myanmar Co., Ltd",105482817,Custom Duties ,Customs Department (CD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
44,"Belpearl Myanmar Co., Ltd",105482817,Commercial Tax on Imported Capital Equipment,Customs Department (CD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
45,"Belpearl Myanmar Co., Ltd",105482817,Commercial Tax on Imports on Raw Materials and Inventories,Customs Department (CD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
46,"Belpearl Myanmar Co., Ltd",105482817,Corporate Income Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
47,"Belpearl Myanmar Co., Ltd",105482817,Commercial Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
48,"Belpearl Myanmar Co., Ltd",105482817,Stamp Duties,Inertal Revenue Department (IRD) ,,MMK,32690.0,0.0,32690.0,32690.0,0.0,32690.0,0.0,nan
49,"Belpearl Myanmar Co., Ltd",105482817,Capital Gains Tax,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
50,"Belpearl Myanmar Co., Ltd",105482817,Withholding tax - Resident ,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
51,"Belpearl Myanmar Co., Ltd",105482817,Withholding tax - Non-Resident,Inertal Revenue Department (IRD) ,,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
